,d,k,l,level,Min,Moves,CPU Time
0,4,3,11,1,53,[],744.1410086154938
1,4,3,11,1,22,[],786.947836637497
2,4,3,11,1,25,[],466.28493905067444
3,4,3,11,1,49,[],846.2575829029083
4,4,3,11,1,21,[],575.2584090232849
5,4,3,11,1,19,[],826.5001051425934
6,4,3,11,1,30,[],679.4285161495209
7,4,3,11,1,22,[],711.4042508602142
8,4,3,11,1,28,[],690.8979089260101
9,4,3,11,1,17,[],665.4378476142883
10,4,3,11,1,37,[],605.7442626953125
11,4,3,11,1,20,[],621.3229212760925
12,4,3,11,1,18,[],868.6351289749146
13,4,3,11,1,16,[],786.4849324226379
14,4,3,11,1,12,[],237.53108620643616
15,4,3,11,1,13,[],720.6919229030609
16,4,3,11,1,26,[],764.6337821483612
17,4,3,11,1,37,[],841.0222883224487
18,4,3,11,1,54,[],715.0018787384033
19,4,3,11,1,31,[],814.6088266372681
20,4,3,11,1,22,[],524.6640913486481
21,4,3,11,1,22,[],306.1860330104828
22,4,3,11,1,33,[],590.2891843318939
23,4,3,11,1,23,[],500.8517379760742
24,4,3,11,1,16,[],803.9426875114441
25,4,3,11,1,28,[],706.1074867248535
26,4,3,11,1,20,[],699.8736205101013
27,4,3,11,1,19,[],787.8067491054535
28,4,3,11,1,26,[],596.9763181209564
29,4,3,11,1,17,[],730.6017911434174
30,4,3,11,1,52,[],1132.1485221385956
31,4,3,11,1,36,[],501.3658859729767
32,4,3,11,1,19,[],688.8256709575653
33,4,3,11,1,31,[],807.3068232536316
34,4,3,11,1,23,[],465.24147391319275
35,4,3,11,1,15,[],717.7258126735687
36,4,3,11,1,28,[],736.5259177684784
37,4,3,11,1,13,[],375.9249050617218
38,4,3,11,1,22,[],719.0765504837036
39,4,3,11,1,31,[],466.60892701148987
40,4,3,11,1,24,[],875.4536998271942
41,4,3,11,1,17,[],919.8460013866425
42,4,3,11,1,17,[],744.3401234149933
43,4,3,11,1,32,[],717.184492111206
44,4,3,11,1,12,[],478.11732172966003
45,4,3,11,1,17,[],308.9876012802124
46,4,3,11,1,12,[],475.08945989608765
47,4,3,11,1,32,[],832.54838347435
48,4,3,11,1,17,[],452.8972773551941
49,4,3,11,1,11,[],914.0494079589844
50,4,3,11,1,17,[],692.8467519283295
51,4,3,11,1,17,[],788.1252779960632
52,4,3,11,1,18,[],669.7695500850677
53,4,3,11,1,26,[],791.1988070011139
54,4,3,11,1,18,[],823.0993893146515
55,4,3,11,1,29,[],806.4433279037476
56,4,3,11,1,16,[],343.85484409332275
57,4,3,11,1,15,[],715.8618357181549
58,4,3,11,1,21,[],419.98761343955994
59,4,3,11,1,23,[],494.3693804740906
60,4,3,11,1,40,[],779.3543653488159
61,4,3,11,1,23,[],859.9355697631836
62,4,3,11,1,20,[],629.6537296772003
63,4,3,11,1,33,[],639.2023823261261
64,4,3,11,1,23,[],578.4395661354065
65,4,3,11,1,17,[],451.0653746128082
66,4,3,11,1,33,[],549.6955525875092
67,4,3,11,1,23,[],608.3352584838867
68,4,3,11,1,20,[],550.7976830005646
69,4,3,11,1,28,[],1202.0627613067627
70,4,3,11,1,32,[],854.9701199531555
71,4,3,11,1,14,[],439.9661910533905
72,4,3,11,1,19,[],879.127448797226
73,4,3,11,1,42,[],717.4507665634155
74,4,3,11,1,18,[],534.1469702720642
75,4,3,11,1,43,[],742.51926612854
76,4,3,11,1,26,[],614.1029894351959
77,4,3,11,1,12,[],310.45476365089417
78,4,3,11,1,12,[],843.0211119651794
79,4,3,11,1,22,[],646.1727964878082
80,4,3,11,1,10,[],354.3825674057007
