,d,k,l,level,Min,Moves,CPU Time
0,4,2,11,1,15,[],296.96989727020264
1,4,2,11,1,15,[],248.01131629943848
2,4,2,11,1,10,[],284.9745168685913
3,4,2,11,1,17,[],268.2856638431549
4,4,2,11,1,14,[],227.7359299659729
5,4,2,11,1,8,[],201.1184754371643
6,4,2,11,1,11,[],259.6591286659241
7,4,2,11,1,10,[],290.76188564300537
8,4,2,11,1,12,[],249.75016713142395
9,4,2,11,1,8,[],180.96968746185303
10,4,2,11,1,12,[],272.994259595871
11,4,2,11,1,8,[],211.46447086334229
12,4,2,11,1,9,[],284.19791293144226
13,4,2,11,1,8,[],245.22206616401672
14,4,2,11,1,11,[],266.62448382377625
15,4,2,11,1,10,[],228.53860092163086
16,4,2,11,1,12,[],290.60986852645874
17,4,2,11,1,8,[],244.42824029922485
18,4,2,11,1,9,[],173.99452209472656
19,4,2,11,1,13,[],269.8258912563324
20,4,2,11,1,12,[],269.21092414855957
21,4,2,11,1,11,[],348.75911951065063
22,4,2,11,1,15,[],274.3166790008545
23,4,2,11,1,10,[],188.78465819358826
24,4,2,11,1,10,[],186.42378520965576
25,4,2,11,1,10,[],267.98445320129395
26,4,2,11,1,11,[],203.21518445014954
27,4,2,11,1,13,[],266.49810242652893
28,4,2,11,1,12,[],268.999489068985
29,4,2,11,1,11,[],224.18864464759827
30,4,2,11,1,13,[],400.81683683395386
31,4,2,11,1,12,[],281.9206008911133
32,4,2,11,1,13,[],263.1993429660797
33,4,2,11,1,15,[],300.44117426872253
34,4,2,11,1,10,[],271.68826484680176
35,4,2,11,1,10,[],257.90591168403625
36,4,2,11,1,10,[],186.39279580116272
37,4,2,11,1,10,[],260.4311890602112
38,4,2,11,1,7,[],232.80482745170593
39,4,2,11,1,9,[],303.9293441772461
40,4,2,11,1,13,[],349.9144854545593
41,4,2,11,1,10,[],169.25831198692322
42,4,2,11,1,7,[],266.7729494571686
43,4,2,11,1,12,[],273.9370713233948
44,4,2,11,1,8,[],274.78921604156494
45,4,2,11,1,13,[],251.04675555229187
46,4,2,11,1,12,[],310.81984400749207
47,4,2,11,1,13,[],257.63670349121094
48,4,2,11,1,9,[],219.24971461296082
49,4,2,11,1,11,[],203.14926195144653
50,4,2,11,1,9,[],152.85650157928467
51,4,2,11,1,9,[],179.14632201194763
52,4,2,11,1,7,[],151.61181664466858
53,4,2,11,1,14,[],233.93180561065674
54,4,2,11,1,11,[],279.30808997154236
55,4,2,11,1,7,[],275.2940282821655
56,4,2,11,1,13,[],262.0682168006897
57,4,2,11,1,9,[],181.57254362106323
58,4,2,11,1,10,[],261.235139131546
59,4,2,11,1,9,[],204.9161515235901
60,4,2,11,1,9,[],228.8842225074768
61,4,2,11,1,9,[],262.7347083091736
62,4,2,11,1,12,[],261.1606035232544
63,4,2,11,1,13,[],254.3410370349884
64,4,2,11,1,10,[],263.0385277271271
65,4,2,11,1,9,[],267.3181366920471
66,4,2,11,1,11,[],225.56114268302917
67,4,2,11,1,11,[],293.84342408180237
68,4,2,11,1,10,[],178.24977660179138
69,4,2,11,1,13,[],231.96188926696777
70,4,2,11,1,14,[],254.96737217903137
71,4,2,11,1,13,[],255.3148956298828
72,4,2,11,1,11,[],253.0843551158905
73,4,2,11,1,10,[],176.9139883518219
74,4,2,11,1,12,[],235.50577473640442
75,4,2,11,1,12,[],229.25765252113342
76,4,2,11,1,9,[],304.92335271835327
77,4,2,11,1,13,[],227.41972970962524
78,4,2,11,1,10,[],187.45583033561707
79,4,2,11,1,12,[],257.02053356170654
80,4,2,11,1,11,[],220.3329827785492
81,4,2,11,1,9,[],222.12425565719604
82,4,2,11,1,12,[],272.2736096382141
83,4,2,11,1,13,[],228.23091292381287
84,4,2,11,1,11,[],232.93159770965576
85,4,2,11,1,11,[],219.02801322937012
86,4,2,11,1,11,[],286.9744322299957
87,4,2,11,1,15,[],274.2283763885498
88,4,2,11,1,10,[],244.82440733909607
89,4,2,11,1,9,[],220.72157382965088
90,4,2,11,1,11,[],321.3232080936432
91,4,2,11,1,10,[],221.9496304988861
92,4,2,11,1,11,[],207.7231159210205
93,4,2,11,1,10,[],272.5493097305298
94,4,2,11,1,8,[],181.98474740982056
