,d,k,l,level,Min,Moves,CPU Time
0,3,1,4,1,6,[],38.45936393737793
1,3,1,4,1,6,[],42.81116843223572
2,3,1,4,1,6,[],42.524465799331665
3,3,1,4,1,6,[],40.49327325820923
4,3,1,4,1,6,[],43.470712184906006
5,3,1,4,1,6,[],32.215222120285034
6,3,1,4,1,6,[],42.20651149749756
7,3,1,4,1,6,[],38.113606214523315
8,3,1,4,1,6,[],32.65184473991394
9,3,1,4,1,6,[],43.698561668395996
10,3,1,4,1,6,[],43.784525871276855
11,3,1,4,1,6,[],40.787418365478516
12,3,1,4,1,6,[],42.90050292015076
13,3,1,4,1,6,[],40.32686233520508
14,3,1,4,1,6,[],41.85181975364685
15,3,1,4,1,6,[],43.55440711975098
16,3,1,4,1,6,[],41.11166429519653
17,3,1,4,1,6,[],42.66287183761597
18,3,1,4,1,6,[],42.38967537879944
19,3,1,4,1,6,[],41.3537073135376
20,3,1,4,1,6,[],41.38369417190552
21,3,1,4,1,6,[],39.79994511604309
22,3,1,4,1,6,[],28.40797781944275
23,3,1,4,1,6,[],44.78644871711731
24,3,1,4,1,6,[],44.73542547225952
25,3,1,4,1,6,[],42.63607954978943
26,3,1,4,1,6,[],42.22361207008362
27,3,1,4,1,6,[],43.52759003639221
28,3,1,4,1,6,[],44.56360840797424
29,3,1,4,1,6,[],39.38431143760681
30,3,1,4,1,6,[],33.396522760391235
31,3,1,4,1,6,[],38.35117149353027
32,3,1,4,1,6,[],41.94798803329468
33,3,1,4,1,6,[],40.356165409088135
34,3,1,4,1,6,[],42.237961292266846
35,3,1,4,1,6,[],44.12208533287048
36,3,1,4,1,6,[],42.70662450790405
37,3,1,4,1,6,[],41.128679275512695
38,3,1,4,1,6,[],42.655113697052
39,3,1,4,1,6,[],42.34861469268799
40,3,1,4,1,6,[],41.04107213020325
41,3,1,4,1,6,[],41.517399072647095
42,3,1,4,1,6,[],43.55703377723694
43,3,1,4,1,6,[],42.45594358444214
44,3,1,4,1,6,[],41.689303398132324
45,3,1,4,1,6,[],34.93057727813721
46,3,1,4,1,6,[],41.78060579299927
47,3,1,4,1,6,[],45.15807509422302
48,3,1,4,1,6,[],40.30785083770752
49,3,1,4,1,6,[],43.83866858482361
50,3,1,4,1,6,[],42.57808208465576
51,3,1,4,1,6,[],40.23166227340698
52,3,1,4,1,6,[],34.65089511871338
53,3,1,4,1,6,[],42.307334184646606
54,3,1,4,1,6,[],30.552886486053467
55,3,1,4,1,6,[],42.64860963821411
56,3,1,4,1,6,[],42.55541110038757
57,3,1,4,1,6,[],43.3305447101593
58,3,1,4,1,6,[],42.726999044418335
59,3,1,4,1,6,[],30.03803277015686
60,3,1,4,1,6,[],44.84707069396973
61,3,1,4,1,6,[],42.494624376297
62,3,1,4,1,6,[],43.20627784729004
63,3,1,4,1,6,[],41.6566379070282
64,3,1,4,1,6,[],33.92704796791077
65,3,1,4,1,6,[],41.93150472640991
66,3,1,4,1,6,[],43.74897503852844
67,3,1,4,1,6,[],40.589797496795654
68,3,1,4,1,6,[],31.111650466918945
69,3,1,4,1,6,[],39.22644019126892
70,3,1,4,1,6,[],40.83422875404358
71,3,1,4,1,6,[],44.24869441986084
72,3,1,4,1,6,[],41.01357388496399
73,3,1,4,1,6,[],42.70404767990112
74,3,1,4,1,6,[],42.20477056503296
75,3,1,4,1,6,[],41.57220411300659
76,3,1,4,1,6,[],42.87079858779907
77,3,1,4,1,6,[],39.49715566635132
78,3,1,4,1,6,[],42.28970694541931
79,3,1,4,1,6,[],42.88324165344238
80,3,1,4,1,6,[],40.6957221031189
81,3,1,4,1,6,[],41.54047441482544
82,3,1,4,1,6,[],28.91199231147766
83,3,1,4,1,6,[],30.22311282157898
84,3,1,4,1,6,[],43.56832194328308
85,3,1,4,1,6,[],38.73680067062378
86,3,1,4,1,6,[],41.686466693878174
87,3,1,4,1,6,[],42.01033616065979
88,3,1,4,1,6,[],39.0577917098999
89,3,1,4,1,6,[],35.732314586639404
90,3,1,4,1,6,[],33.253578186035156
91,3,1,4,1,6,[],40.875094175338745
92,3,1,4,1,6,[],46.848491191864014
93,3,1,4,1,6,[],45.465951681137085
94,3,1,4,1,6,[],34.8385009765625
95,3,1,4,1,6,[],24.922678470611572
96,3,1,4,1,6,[],29.31004285812378
97,3,1,4,1,6,[],29.672560214996338
98,3,1,4,1,6,[],35.198023557662964
99,3,1,4,1,6,[],43.21493625640869
100,3,1,4,1,6,[],41.014259815216064
101,3,1,4,1,6,[],46.59722447395325
102,3,1,4,1,6,[],44.542240858078
103,3,1,4,1,6,[],34.0134162902832
104,3,1,4,1,6,[],41.98812794685364
105,3,1,4,1,6,[],42.85387301445007
106,3,1,4,1,6,[],43.00124979019165
107,3,1,4,1,6,[],45.42888855934143
108,3,1,4,1,6,[],43.51672959327698
109,3,1,4,1,6,[],33.59679961204529
110,3,1,4,1,6,[],40.07652425765991
111,3,1,4,1,6,[],43.87148070335388
112,3,1,4,1,6,[],34.32989692687988
113,3,1,4,1,6,[],42.796467304229736
114,3,1,4,1,6,[],42.11991024017334
115,3,1,4,1,6,[],41.8814754486084
116,3,1,4,1,6,[],35.45140886306763
117,3,1,4,1,6,[],35.589282751083374
118,3,1,4,1,6,[],42.406636476516724
119,3,1,4,1,6,[],41.09431719779968
120,3,1,4,1,6,[],32.443670988082886
121,3,1,4,1,6,[],34.002853870391846
122,3,1,4,1,6,[],41.97998785972595
123,3,1,4,1,6,[],43.3906934261322
124,3,1,4,1,6,[],38.979260206222534
125,3,1,4,1,6,[],41.62850046157837
126,3,1,4,1,6,[],41.184760093688965
127,3,1,4,1,6,[],42.98889875411987
