,d,k,l,level,Min,Moves
0,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
1,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
2,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
3,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
4,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
5,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
6,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
7,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
8,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
9,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
10,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
11,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
12,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
13,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
14,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
15,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
16,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
17,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
18,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
19,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
20,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
21,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
22,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
23,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
24,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
25,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
26,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
27,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
28,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
29,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
30,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
31,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
32,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
33,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
34,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
35,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
36,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
37,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
38,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
39,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
40,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
41,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
42,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
43,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
44,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
45,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
46,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
47,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
48,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
49,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
50,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
51,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
52,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
53,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
54,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
55,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
56,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
57,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
58,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
59,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
60,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
61,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
62,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
63,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
64,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
65,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
66,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
67,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
68,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
69,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
70,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
71,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
72,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
73,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
74,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
75,3,1,4,1,8,"[(0.0, 'blue'), (2.0, 'blue'), (0.0, 'purple'), (4.0, 'green'), (7.0, 'red'), (6.0, 'blue'), (1.0, 'purple'), (5.0, 'red')]"
