,d,k,l,level,Min,Moves,CPU Time
0,4,2,11,4,8,[],32.80298113822937
1,4,2,11,4,9,[],33.92692422866821
2,4,2,11,4,11,[],50.122482776641846
3,4,2,11,4,10,[],38.66312766075134
4,4,2,11,4,9,[],34.66896963119507
5,4,2,11,4,10,[],36.11287069320679
6,4,2,11,4,10,[],34.09987759590149
7,4,2,11,4,9,[],38.17286467552185
8,4,2,11,4,9,[],26.780507802963257
9,4,2,11,4,10,[],39.97611713409424
10,4,2,11,4,10,[],30.46782898902893
11,4,2,11,4,10,[],32.41609287261963
12,4,2,11,4,8,[],31.859424829483032
13,4,2,11,4,11,[],45.0848867893219
14,4,2,11,4,8,[],37.422706604003906
15,4,2,11,4,9,[],29.949867725372314
16,4,2,11,4,12,[],44.55816197395325
17,4,2,11,4,13,[],49.295071601867676
18,4,2,11,4,9,[],27.337494373321533
19,4,2,11,4,10,[],53.87257647514343
20,4,2,11,4,10,[],35.29935956001282
21,4,2,11,4,11,[],46.52060294151306
22,4,2,11,4,8,[],73.3861448764801
23,4,2,11,4,12,[],51.35372304916382
24,4,2,11,4,8,[],33.78876566886902
25,4,2,11,4,9,[],52.579046964645386
26,4,2,11,4,9,[],36.6805260181427
27,4,2,11,4,9,[],31.906731605529785
28,4,2,11,4,10,[],28.232349634170532
29,4,2,11,4,10,[],31.918538331985474
30,4,2,11,4,9,[],48.72549772262573
31,4,2,11,4,9,[],31.981137990951538
32,4,2,11,4,8,[],34.36592435836792
33,4,2,11,4,9,[],29.525100231170654
34,4,2,11,4,9,[],36.32465648651123
35,4,2,11,4,11,[],43.62424063682556
36,4,2,11,4,9,[],36.575995206832886
37,4,2,11,4,11,[],27.443604946136475
38,4,2,11,4,10,[],32.165701389312744
39,4,2,11,4,9,[],32.652613401412964
40,4,2,11,4,13,[],49.928351640701294
41,4,2,11,4,9,[],33.767271995544434
42,4,2,11,4,11,[],37.61632466316223
43,4,2,11,4,10,[],33.2500684261322
44,4,2,11,4,9,[],46.73505711555481
45,4,2,11,4,11,[],37.641440629959106
46,4,2,11,4,9,[],38.20744490623474
47,4,2,11,4,10,[],32.437190532684326
48,4,2,11,4,12,[],33.74731731414795
49,4,2,11,4,8,[],22.769318103790283
50,4,2,11,4,12,[],35.651400327682495
51,4,2,11,4,13,[],45.45804190635681
52,4,2,11,4,13,[],44.62477922439575
53,4,2,11,4,9,[],30.489307641983032
54,4,2,11,4,11,[],32.67642378807068
