,d,k,l,level,Min,Moves,CPU Time
0,4,2,11,0,6,[],156.98909330368042
1,4,2,11,0,6,[],118.80732536315918
2,4,2,11,0,6,[],179.05263113975525
3,4,2,11,0,6,[],136.25973773002625
4,4,2,11,0,6,[],157.34813976287842
5,4,2,11,0,6,[],125.26046800613403
6,4,2,11,0,6,[],136.26643085479736
7,4,2,11,0,6,[],148.99662899971008
8,4,2,11,0,6,[],169.85409474372864
9,4,2,11,0,6,[],115.79590177536011
10,4,2,11,0,6,[],148.57599067687988
11,4,2,11,0,6,[],111.73291397094727
12,4,2,11,0,6,[],170.07663130760193
13,4,2,11,0,6,[],162.173996925354
14,4,2,11,0,6,[],153.71102905273438
15,4,2,11,0,6,[],169.03577256202698
16,4,2,11,0,6,[],107.45407223701477
17,4,2,11,0,6,[],155.33278346061707
18,4,2,11,0,6,[],136.48907089233398
19,4,2,11,0,6,[],164.52890133857727
20,4,2,11,0,7,[],149.3812131881714
21,4,2,11,0,6,[],145.2782461643219
22,4,2,11,0,6,[],163.1414189338684
23,4,2,11,0,6,[],120.64388012886047
24,4,2,11,0,6,[],151.99301075935364
25,4,2,11,0,6,[],155.93668580055237
26,4,2,11,0,6,[],113.88619112968445
27,4,2,11,0,6,[],147.54629778862
28,4,2,11,0,6,[],161.21882796287537
29,4,2,11,0,6,[],130.0560441017151
30,4,2,11,0,6,[],149.92801594734192
31,4,2,11,0,6,[],157.11782097816467
32,4,2,11,0,6,[],106.09131360054016
33,4,2,11,0,6,[],126.47703647613525
34,4,2,11,0,6,[],162.28070878982544
35,4,2,11,0,6,[],106.261958360672
36,4,2,11,0,6,[],116.54182362556458
37,4,2,11,0,6,[],114.60931921005249
38,4,2,11,0,6,[],103.5998682975769
39,4,2,11,0,6,[],142.85127973556519
40,4,2,11,0,6,[],150.61216044425964
41,4,2,11,0,6,[],159.85427141189575
42,4,2,11,0,6,[],131.55571389198303
43,4,2,11,0,6,[],166.36443758010864
44,4,2,11,0,6,[],141.47435927391052
45,4,2,11,0,6,[],173.49759340286255
46,4,2,11,0,6,[],157.0606644153595
47,4,2,11,0,6,[],148.8919060230255
48,4,2,11,0,6,[],161.6812345981598
49,4,2,11,0,6,[],192.231440782547
50,4,2,11,0,6,[],125.99943423271179
51,4,2,11,0,6,[],164.32881808280945
52,4,2,11,0,6,[],145.9440815448761
53,4,2,11,0,6,[],153.33523035049438
54,4,2,11,0,6,[],144.00389504432678
55,4,2,11,0,6,[],121.67423748970032
56,4,2,11,0,6,[],153.99998092651367
57,4,2,11,0,7,[],168.7268488407135
58,4,2,11,0,6,[],150.56530666351318
59,4,2,11,0,7,[],149.1919388771057
60,4,2,11,0,6,[],144.19673418998718
61,4,2,11,0,7,[],157.84795212745667
62,4,2,11,0,6,[],153.24704885482788
