,d,k,l,level,Min,Moves,CPU Time
0,4,1,11,3,8,[],21.929733991622925
1,4,1,11,3,8,[],21.330540895462036
2,4,1,11,3,8,[],21.04918646812439
3,4,1,11,3,8,[],28.039311170578003
4,4,1,11,3,8,[],21.693165063858032
5,4,1,11,3,10,[],16.663476943969727
6,4,1,11,3,10,[],26.772103548049927
7,4,1,11,3,8,[],18.64379048347473
8,4,1,11,3,8,[],21.023693799972534
9,4,1,11,3,8,[],28.426583290100098
10,4,1,11,3,8,[],20.724856853485107
11,4,1,11,3,8,[],31.437183618545532
12,4,1,11,3,8,[],20.226210355758667
13,4,1,11,3,8,[],21.457366943359375
14,4,1,11,3,8,[],30.851972341537476
15,4,1,11,3,8,[],26.466067790985107
16,4,1,11,3,8,[],16.630659818649292
17,4,1,11,3,8,[],19.452107429504395
18,4,1,11,3,10,[],22.22451376914978
19,4,1,11,3,8,[],30.755258083343506
20,4,1,11,3,8,[],21.675991773605347
21,4,1,11,3,10,[],21.639808177947998
22,4,1,11,3,8,[],17.956375122070312
23,4,1,11,3,10,[],21.960171461105347
24,4,1,11,3,8,[],21.453415393829346
25,4,1,11,3,8,[],14.528970718383789
26,4,1,11,3,8,[],27.81341862678528
27,4,1,11,3,8,[],19.36806321144104
28,4,1,11,3,8,[],23.04542899131775
29,4,1,11,3,8,[],17.115811824798584
30,4,1,11,3,8,[],26.36799907684326
31,4,1,11,3,10,[],19.830691814422607
32,4,1,11,3,8,[],18.14132595062256
33,4,1,11,3,8,[],23.39562702178955
34,4,1,11,3,8,[],23.592990398406982
35,4,1,11,3,8,[],16.056214809417725
36,4,1,11,3,8,[],16.93092632293701
37,4,1,11,3,8,[],21.332512140274048
38,4,1,11,3,8,[],17.406448125839233
39,4,1,11,3,10,[],25.247777700424194
40,4,1,11,3,8,[],28.88245701789856
41,4,1,11,3,10,[],22.763476610183716
42,4,1,11,3,8,[],16.48627781867981
43,4,1,11,3,8,[],20.73855686187744
44,4,1,11,3,8,[],23.161437273025513
45,4,1,11,3,8,[],24.02817392349243
46,4,1,11,3,8,[],15.147594451904297
47,4,1,11,3,8,[],29.567052125930786
48,4,1,11,3,10,[],26.469778537750244
49,4,1,11,3,8,[],28.56818437576294
50,4,1,11,3,8,[],33.934900999069214
51,4,1,11,3,8,[],22.445114850997925
52,4,1,11,3,8,[],20.191067934036255
53,4,1,11,3,8,[],20.328822374343872
54,4,1,11,3,8,[],21.063962936401367
55,4,1,11,3,8,[],22.728490829467773
56,4,1,11,3,8,[],17.943042993545532
57,4,1,11,3,8,[],14.965425729751587
58,4,1,11,3,8,[],17.170433282852173
59,4,1,11,3,8,[],15.843229532241821
60,4,1,11,3,12,[],22.322382926940918
61,4,1,11,3,8,[],20.352057933807373
62,4,1,11,3,10,[],21.64314293861389
63,4,1,11,3,10,[],27.701952695846558
64,4,1,11,3,8,[],20.491326808929443
65,4,1,11,3,8,[],18.346065282821655
66,4,1,11,3,8,[],31.68891167640686
67,4,1,11,3,8,[],22.20323610305786
68,4,1,11,3,8,[],24.653679609298706
69,4,1,11,3,8,[],15.85074758529663
70,4,1,11,3,8,[],27.067506313323975
71,4,1,11,3,8,[],24.925959825515747
72,4,1,11,3,10,[],19.77662444114685
73,4,1,11,3,8,[],20.0902259349823
74,4,1,11,3,8,[],29.082368850708008
75,4,1,11,3,8,[],18.654387950897217
76,4,1,11,3,8,[],32.136056900024414
77,4,1,11,3,8,[],20.32635998725891
78,4,1,11,3,8,[],17.712422370910645
79,4,1,11,3,10,[],25.237852334976196
80,4,1,11,3,8,[],18.186095237731934
81,4,1,11,3,8,[],20.827972650527954
82,4,1,11,3,10,[],19.123680353164673
83,4,1,11,3,8,[],25.843189239501953
84,4,1,11,3,8,[],23.102715969085693
85,4,1,11,3,8,[],24.94071865081787
86,4,1,11,3,10,[],23.341728448867798
87,4,1,11,3,8,[],26.357515811920166
88,4,1,11,3,8,[],23.64374303817749
89,4,1,11,3,8,[],35.613409996032715
90,4,1,11,3,8,[],36.07883954048157
91,4,1,11,3,8,[],19.700525760650635
92,4,1,11,3,8,[],19.41931176185608
93,4,1,11,3,8,[],34.31383919715881
94,4,1,11,3,8,[],18.115215063095093
95,4,1,11,3,8,[],20.991215705871582
96,4,1,11,3,8,[],25.430265188217163
97,4,1,11,3,8,[],22.93273615837097
98,4,1,11,3,8,[],31.702017307281494
99,4,1,11,3,8,[],19.440086126327515
100,4,1,11,3,8,[],19.47587561607361
101,4,1,11,3,8,[],23.863395929336548
102,4,1,11,3,10,[],21.516465663909912
103,4,1,11,3,10,[],21.467515230178833
104,4,1,11,3,8,[],17.59147834777832
105,4,1,11,3,8,[],16.54406976699829
106,4,1,11,3,10,[],22.538503646850586
107,4,1,11,3,8,[],16.68838667869568
108,4,1,11,3,8,[],20.142067909240723
109,4,1,11,3,8,[],25.90567111968994
110,4,1,11,3,10,[],26.581623077392578
111,4,1,11,3,8,[],25.51315450668335
112,4,1,11,3,8,[],30.261837482452393
113,4,1,11,3,8,[],25.926106452941895
114,4,1,11,3,8,[],20.12658977508545
115,4,1,11,3,8,[],30.642421007156372
116,4,1,11,3,10,[],21.67506432533264
117,4,1,11,3,8,[],21.354292392730713
118,4,1,11,3,8,[],25.123592376708984
119,4,1,11,3,8,[],20.25882053375244
