,ID,graph,fitness,moves,ring_positions
0,124063bf-65dd-48d3-b7de-00e59aaeead1,Graph with 8 nodes and 12 edges,1.0,"[(3, 'green'), (7, 'yellow'), (1, 'red'), (0, 'blue'), (6, 'yellow'), (4, 'yellow'), (2, 'green')]","[(4, 'yellow'), (2, 'green'), (0, 'blue'), (1, 'red')]"
1,9c572168-efb6-4704-9085-7cdfa26926ec,Graph with 8 nodes and 12 edges,0.5,"[(3, 'green'), (7, 'yellow'), (1, 'red'), (0, 'blue'), (5, 'yellow'), (2, 'green')]","[(5, 'yellow'), (2, 'green'), (0, 'blue'), (1, 'red')]"
2,5f04849c-09f9-4e38-bde3-fb244c2ce880,Graph with 8 nodes and 12 edges,0.5,"[(3, 'green'), (7, 'yellow'), (1, 'red'), (0, 'blue'), (5, 'yellow'), (2, 'green')]","[(5, 'yellow'), (2, 'green'), (0, 'blue'), (1, 'red')]"
3,4854346f-5833-4c93-a135-169821698e5a,Graph with 8 nodes and 12 edges,0.5,"[(3, 'green'), (7, 'yellow'), (1, 'red'), (0, 'blue'), (5, 'yellow'), (2, 'green')]","[(5, 'yellow'), (2, 'green'), (0, 'blue'), (1, 'red')]"
4,f6cbba09-b741-4abf-9b08-bf9957170b71,Graph with 8 nodes and 12 edges,0.5,"[(3, 'green'), (7, 'yellow'), (1, 'red'), (0, 'blue'), (6, 'yellow'), (4, 'yellow'), (6, 'green')]","[(4, 'yellow'), (6, 'green'), (0, 'blue'), (1, 'red')]"
5,eca26b04-ff9b-4804-ab72-cdb5852d2e11,Graph with 8 nodes and 12 edges,0.5,"[(3, 'green'), (7, 'yellow'), (1, 'red'), (0, 'blue'), (5, 'yellow'), (2, 'green')]","[(5, 'yellow'), (2, 'green'), (0, 'blue'), (1, 'red')]"
6,1032973c-f570-4d37-9785-cf7f14dcc7d9,Graph with 8 nodes and 12 edges,0.5,"[(3, 'green'), (7, 'yellow'), (1, 'red'), (0, 'blue'), (5, 'yellow'), (2, 'green')]","[(5, 'yellow'), (2, 'green'), (0, 'blue'), (1, 'red')]"
7,0d8940eb-2776-4a49-b27b-92edbb7bdbb6,Graph with 8 nodes and 12 edges,0.5,"[(3, 'green'), (7, 'yellow'), (1, 'red'), (0, 'blue'), (5, 'yellow'), (2, 'green')]","[(5, 'yellow'), (2, 'green'), (0, 'blue'), (1, 'red')]"
8,69978e5e-d7bb-48d6-98ff-1d9fb9dee5f8,Graph with 8 nodes and 12 edges,0.5,"[(3, 'green'), (7, 'yellow'), (1, 'red'), (0, 'blue'), (5, 'yellow'), (2, 'green'), (6, 'yellow')]","[(6, 'yellow'), (2, 'green'), (0, 'blue'), (1, 'red')]"
9,e6d8af07-d399-449e-8e9e-54e26ee43f1f,Graph with 8 nodes and 12 edges,0.5,"[(3, 'green'), (7, 'yellow'), (1, 'red'), (0, 'blue'), (5, 'yellow'), (2, 'green')]","[(5, 'yellow'), (2, 'green'), (0, 'blue'), (1, 'red')]"
10,28fd0db9-a2e7-45cc-bab9-2701d004b7ea,Graph with 8 nodes and 12 edges,0.5,"[(3, 'green'), (7, 'yellow'), (1, 'red'), (0, 'blue'), (6, 'yellow'), (4, 'yellow')]","[(4, 'yellow'), (3, 'green'), (0, 'blue'), (1, 'red')]"
11,8ac33938-86cf-46b1-923c-69366e125f9e,Graph with 8 nodes and 12 edges,0.5,"[(3, 'green'), (7, 'yellow'), (1, 'red'), (0, 'blue'), (5, 'yellow'), (2, 'green'), (6, 'yellow')]","[(6, 'yellow'), (2, 'green'), (0, 'blue'), (1, 'red')]"
