,d,k,l,t,level,Min,Moves,CPU Time
0,3,1,4,7,3,8,"[(2, 'blue'), (0, 'red'), (6, 'blue'), (3, 'purple'), (1, 'red'), (4, 'green'), (5, 'red'), (1, 'purple')]",0.919152021408081
1,3,1,4,8,3,10,"[(7, 'green'), (5, 'red'), (3, 'green'), (7, 'blue'), (2, 'green'), (3, 'green'), (6, 'blue'), (2, 'green'), (0, 'green'), (4, 'green')]",1.1372148990631104
2,3,1,4,5,3,6,"[(3, 'purple'), (1, 'green'), (5, 'red'), (0, 'green'), (1, 'purple'), (4, 'green')]",0.7350695133209229
3,3,1,4,5,3,8,"[(0, 'red'), (3, 'purple'), (1, 'red'), (4, 'green'), (7, 'blue'), (5, 'red'), (1, 'purple'), (6, 'blue')]",0.7194302082061768
4,3,1,4,9,3,6,"[(0, 'red'), (4, 'green'), (2, 'red'), (3, 'red'), (7, 'red'), (5, 'red')]",1.2597911357879639
5,3,1,4,8,3,8,"[(0, 'red'), (3, 'purple'), (7, 'purple'), (1, 'red'), (4, 'green'), (3, 'purple'), (5, 'red'), (1, 'purple')]",1.1352624893188477
6,3,1,4,7,3,6,"[(7, 'green'), (5, 'red'), (3, 'green'), (2, 'green'), (0, 'green'), (4, 'green')]",1.0984277725219727
7,3,1,4,8,3,6,"[(0, 'red'), (4, 'green'), (2, 'red'), (3, 'red'), (7, 'red'), (5, 'red')]",1.303368091583252
8,3,1,4,9,3,6,"[(7, 'green'), (3, 'green'), (2, 'green'), (5, 'red'), (0, 'green'), (4, 'green')]",1.3430206775665283
9,3,1,4,7,3,10,"[(0, 'red'), (3, 'purple'), (4, 'green'), (1, 'red'), (7, 'blue'), (0, 'green'), (5, 'red'), (6, 'blue'), (1, 'purple'), (4, 'green')]",1.0659303665161133
10,3,1,4,8,3,8,"[(2, 'blue'), (6, 'red'), (3, 'blue'), (7, 'red'), (4, 'green'), (5, 'red'), (7, 'blue'), (6, 'blue')]",1.1112534999847412
11,3,1,4,9,3,10,"[(2, 'blue'), (6, 'red'), (0, 'blue'), (4, 'green'), (2, 'red'), (3, 'red'), (7, 'red'), (5, 'red'), (2, 'blue'), (6, 'blue')]",1.2371907234191895
