,d,k,l,t,level,Min,Moves,CPU Time
0,5,3,26,19,0,8,"[(11, 'purple'), (13, 'purple'), (29, 'blue'), (19, 'green'), (11, 'purple'), (17, 'green'), (27, 'purple'), (30, 'purple')]",20.12606954574585
1,5,3,26,18,0,11,"[(24, 'purple'), (31, 'blue'), (29, 'blue'), (31, 'green'), (26, 'purple'), (7, 'green'), (18, 'purple'), (26, 'purple'), (19, 'green'), (30, 'purple'), (17, 'green')]",18.735062837600708
2,5,3,26,16,0,6,"[(2, 'green'), (30, 'purple'), (16, 'blue'), (29, 'blue'), (18, 'green'), (17, 'green')]",17.940160751342773
3,5,3,26,15,0,6,"[(18, 'green'), (30, 'purple'), (22, 'green'), (29, 'blue'), (16, 'green'), (17, 'green')]",24.22022771835327
4,5,3,26,13,0,4,"[(27, 'green'), (30, 'purple'), (29, 'blue'), (17, 'green')]",18.810070276260376
5,5,3,26,16,0,4,"[(16, 'green'), (30, 'purple'), (29, 'blue'), (17, 'green')]",23.43792986869812
6,5,3,26,9,0,6,"[(18, 'green'), (9, 'orange'), (30, 'purple'), (29, 'blue'), (1, 'orange'), (17, 'green')]",9.48748779296875
7,5,3,26,18,0,5,"[(15, 'purple'), (18, 'green'), (30, 'purple'), (29, 'blue'), (17, 'green')]",36.014121294021606
8,5,3,26,15,0,8,"[(20, 'green'), (13, 'purple'), (16, 'green'), (27, 'blue'), (23, 'blue'), (17, 'green'), (30, 'purple'), (29, 'blue')]",29.59438443183899
9,5,3,26,12,0,7,"[(27, 'green'), (20, 'blue'), (7, 'purple'), (17, 'green'), (28, 'blue'), (29, 'blue'), (30, 'purple')]",15.437700271606445
10,5,3,26,20,0,6,"[(18, 'green'), (30, 'purple'), (29, 'blue'), (22, 'green'), (18, 'green'), (17, 'green')]",35.25505709648132
11,5,3,26,13,0,6,"[(6, 'green'), (30, 'purple'), (16, 'blue'), (23, 'green'), (29, 'blue'), (17, 'green')]",25.214592695236206
12,5,3,26,15,0,6,"[(18, 'green'), (30, 'purple'), (21, 'blue'), (16, 'green'), (17, 'green'), (29, 'blue')]",17.391637086868286
13,5,3,26,19,0,6,"[(15, 'purple'), (29, 'blue'), (16, 'green'), (26, 'green'), (17, 'green'), (30, 'purple')]",36.25879502296448
14,5,3,26,16,0,9,"[(27, 'blue'), (24, 'blue'), (18, 'green'), (12, 'blue'), (17, 'green'), (7, 'purple'), (24, 'blue'), (30, 'purple'), (29, 'blue')]",25.496345281600952
15,5,3,26,11,0,7,"[(20, 'green'), (27, 'blue'), (15, 'blue'), (17, 'green'), (20, 'purple'), (29, 'blue'), (30, 'purple')]",15.818177461624146
16,5,3,26,19,0,5,"[(10, 'green'), (30, 'purple'), (29, 'blue'), (25, 'green'), (17, 'green')]",22.785742044448853
17,5,3,26,19,0,10,"[(26, 'green'), (12, 'yellow'), (30, 'purple'), (20, 'yellow'), (11, 'green'), (29, 'blue'), (4, 'yellow'), (26, 'green'), (24, 'green'), (17, 'green')]",21.359437227249146
18,5,3,26,12,0,4,"[(26, 'green'), (30, 'purple'), (29, 'blue'), (17, 'green')]",22.582274198532104
19,5,3,26,21,0,10,"[(13, 'purple'), (8, 'green'), (29, 'blue'), (30, 'green'), (12, 'purple'), (22, 'green'), (30, 'purple'), (3, 'orange'), (17, 'green'), (1, 'orange')]",23.093656539916992
20,5,3,26,19,0,5,"[(16, 'green'), (28, 'purple'), (29, 'blue'), (30, 'purple'), (17, 'green')]",32.62911009788513
21,5,3,26,13,0,5,"[(13, 'purple'), (26, 'green'), (30, 'purple'), (29, 'blue'), (17, 'green')]",25.02807354927063
22,5,3,26,18,0,9,"[(12, 'purple'), (29, 'blue'), (27, 'green'), (30, 'purple'), (24, 'green'), (25, 'green'), (6, 'yellow'), (4, 'yellow'), (17, 'green')]",20.39894151687622
23,5,3,26,17,0,8,"[(26, 'green'), (11, 'green'), (21, 'purple'), (30, 'purple'), (29, 'blue'), (23, 'green'), (16, 'green'), (17, 'green')]",16.84245014190674
24,5,3,26,16,0,8,"[(18, 'green'), (19, 'green'), (11, 'purple'), (18, 'green'), (30, 'purple'), (31, 'blue'), (29, 'blue'), (17, 'green')]",19.02313733100891
25,5,3,26,17,0,6,"[(24, 'green'), (28, 'purple'), (29, 'blue'), (17, 'green'), (18, 'purple'), (30, 'purple')]",30.04021453857422
26,5,3,26,11,0,5,"[(16, 'green'), (30, 'purple'), (21, 'blue'), (17, 'green'), (29, 'blue')]",13.499157428741455
27,5,3,26,16,0,4,"[(18, 'green'), (30, 'purple'), (29, 'blue'), (17, 'green')]",17.396424770355225
28,5,3,26,11,0,7,"[(9, 'purple'), (18, 'green'), (25, 'blue'), (17, 'green'), (12, 'purple'), (30, 'purple'), (29, 'blue')]",22.723913431167603
29,5,3,26,19,0,10,"[(8, 'purple'), (21, 'blue'), (29, 'blue'), (18, 'green'), (28, 'blue'), (31, 'blue'), (30, 'purple'), (15, 'blue'), (17, 'green'), (29, 'blue')]",36.33698916435242
30,5,3,26,18,0,7,"[(31, 'purple'), (29, 'blue'), (9, 'blue'), (24, 'green'), (30, 'purple'), (17, 'green'), (29, 'blue')]",35.68622803688049
31,5,3,26,23,0,8,"[(21, 'purple'), (14, 'green'), (30, 'purple'), (10, 'green'), (29, 'blue'), (27, 'green'), (19, 'green'), (17, 'green')]",27.360530853271484
32,5,3,26,17,0,8,"[(16, 'blue'), (12, 'green'), (30, 'purple'), (11, 'green'), (29, 'blue'), (25, 'green'), (18, 'green'), (17, 'green')]",19.27336812019348
33,5,3,26,19,0,7,"[(31, 'green'), (8, 'purple'), (29, 'blue'), (27, 'green'), (19, 'green'), (17, 'green'), (30, 'purple')]",28.788329362869263
34,5,3,26,17,0,6,"[(24, 'blue'), (26, 'green'), (30, 'purple'), (19, 'green'), (17, 'green'), (29, 'blue')]",35.73038196563721
35,5,3,26,24,0,8,"[(15, 'green'), (9, 'green'), (15, 'green'), (30, 'purple'), (10, 'green'), (29, 'blue'), (19, 'green'), (17, 'green')]",24.388819456100464
36,5,3,26,15,0,7,"[(24, 'blue'), (6, 'green'), (30, 'purple'), (18, 'green'), (28, 'blue'), (17, 'green'), (29, 'blue')]",24.792402744293213
37,5,3,26,24,0,14,"[(12, 'yellow'), (26, 'green'), (18, 'blue'), (10, 'green'), (31, 'purple'), (16, 'blue'), (6, 'yellow'), (15, 'orange'), (1, 'orange'), (30, 'purple'), (4, 'yellow'), (29, 'blue'), (26, 'green'), (17, 'green')]",46.93216013908386
38,5,3,26,16,0,8,"[(24, 'blue'), (14, 'green'), (19, 'purple'), (30, 'purple'), (7, 'green'), (29, 'blue'), (18, 'green'), (17, 'green')]",27.212311029434204
39,5,3,26,14,0,8,"[(11, 'purple'), (23, 'purple'), (25, 'blue'), (29, 'blue'), (26, 'green'), (24, 'green'), (30, 'purple'), (17, 'green')]",31.523574113845825
40,5,3,26,6,0,5,"[(27, 'purple'), (22, 'green'), (29, 'blue'), (30, 'purple'), (17, 'green')]",9.0016028881073
41,5,3,26,22,0,8,"[(26, 'green'), (30, 'purple'), (3, 'green'), (7, 'green'), (18, 'green'), (29, 'blue'), (23, 'green'), (17, 'green')]",39.54327464103699
42,5,3,26,17,0,6,"[(19, 'green'), (18, 'green'), (30, 'purple'), (19, 'blue'), (29, 'blue'), (17, 'green')]",27.784273147583008
43,5,3,26,19,0,7,"[(15, 'purple'), (29, 'blue'), (6, 'green'), (30, 'purple'), (23, 'green'), (20, 'green'), (17, 'green')]",37.170711517333984
44,5,3,26,14,0,6,"[(18, 'green'), (30, 'purple'), (10, 'green'), (26, 'green'), (29, 'blue'), (17, 'green')]",22.644541025161743
