,d,k,l,t,level,Min,Moves,CPU Time
0,4,1,11,14,3,14,"[(3, 'purple'), (6, 'blue'), (1, 'yellow'), (15, 'red'), (11, 'purple'), (12, 'green'), (9, 'yellow'), (7, 'red'), (4, 'blue'), (5, 'red'), (1, 'yellow'), (15, 'purple'), (13, 'green'), (7, 'purple')]",6.682902574539185
1,4,1,11,14,3,10,"[(3, 'purple'), (12, 'green'), (6, 'blue'), (1, 'yellow'), (8, 'green'), (5, 'red'), (7, 'purple'), (4, 'blue'), (12, 'green'), (13, 'green')]",5.28939414024353
2,4,1,11,12,3,10,"[(3, 'purple'), (1, 'yellow'), (15, 'blue'), (12, 'green'), (7, 'blue'), (5, 'red'), (13, 'green'), (6, 'blue'), (4, 'blue'), (7, 'purple')]",3.8022830486297607
3,4,1,11,16,3,12,"[(3, 'purple'), (1, 'yellow'), (5, 'red'), (12, 'green'), (9, 'yellow'), (13, 'green'), (1, 'yellow'), (4, 'red'), (6, 'blue'), (5, 'red'), (4, 'blue'), (7, 'purple')]",18.83686590194702
4,4,1,11,22,3,14,"[(3, 'blue'), (9, 'red'), (2, 'blue'), (3, 'purple'), (1, 'yellow'), (0, 'blue'), (7, 'purple'), (13, 'red'), (5, 'red'), (12, 'green'), (4, 'blue'), (13, 'green'), (6, 'blue'), (4, 'blue')]",25.00057888031006
5,4,1,11,15,3,8,"[(3, 'purple'), (1, 'yellow'), (6, 'blue'), (5, 'red'), (12, 'green'), (7, 'purple'), (13, 'green'), (4, 'blue')]",9.266322135925293
6,4,1,11,17,3,10,"[(0, 'purple'), (1, 'yellow'), (5, 'red'), (6, 'blue'), (12, 'green'), (2, 'purple'), (3, 'purple'), (4, 'blue'), (13, 'green'), (7, 'purple')]",7.163020133972168
7,4,1,11,21,3,14,"[(0, 'purple'), (1, 'yellow'), (6, 'blue'), (14, 'blue'), (5, 'red'), (2, 'purple'), (12, 'green'), (6, 'blue'), (4, 'blue'), (6, 'purple'), (13, 'green'), (12, 'green'), (7, 'purple'), (13, 'green')]",9.557249307632446
8,4,1,11,12,3,10,"[(3, 'purple'), (1, 'yellow'), (6, 'blue'), (5, 'red'), (12, 'green'), (7, 'purple'), (3, 'purple'), (13, 'green'), (4, 'blue'), (7, 'purple')]",5.164804458618164
9,4,1,11,19,3,14,"[(9, 'purple'), (1, 'yellow'), (12, 'green'), (11, 'purple'), (15, 'blue'), (5, 'red'), (13, 'green'), (14, 'blue'), (6, 'blue'), (7, 'red'), (5, 'red'), (3, 'purple'), (4, 'blue'), (7, 'purple')]",22.72766637802124
10,4,1,11,19,3,10,"[(3, 'purple'), (1, 'yellow'), (12, 'green'), (5, 'red'), (13, 'green'), (6, 'blue'), (14, 'blue'), (7, 'purple'), (6, 'blue'), (4, 'blue')]",17.797598123550415
11,4,1,11,12,3,12,"[(9, 'purple'), (1, 'yellow'), (12, 'green'), (11, 'purple'), (15, 'blue'), (14, 'blue'), (5, 'red'), (6, 'blue'), (3, 'purple'), (13, 'green'), (4, 'blue'), (7, 'purple')]",4.482376337051392
12,4,1,11,15,3,16,"[(12, 'green'), (3, 'purple'), (1, 'yellow'), (5, 'red'), (2, 'purple'), (6, 'blue'), (13, 'green'), (14, 'blue'), (9, 'green'), (12, 'blue'), (6, 'purple'), (13, 'green'), (4, 'blue'), (12, 'blue'), (7, 'purple'), (4, 'blue')]",13.053974866867065
13,4,1,11,18,3,16,"[(0, 'green'), (4, 'yellow'), (5, 'purple'), (8, 'green'), (15, 'blue'), (7, 'purple'), (9, 'green'), (5, 'red'), (13, 'blue'), (0, 'yellow'), (11, 'green'), (1, 'yellow'), (12, 'blue'), (4, 'blue'), (15, 'green'), (13, 'green')]",20.73949909210205
14,4,1,11,20,3,12,"[(3, 'purple'), (1, 'yellow'), (12, 'green'), (5, 'blue'), (7, 'purple'), (4, 'blue'), (0, 'blue'), (4, 'blue'), (9, 'yellow'), (5, 'red'), (13, 'green'), (1, 'yellow')]",8.575380802154541
15,4,1,11,14,3,12,"[(0, 'purple'), (12, 'green'), (1, 'yellow'), (5, 'red'), (13, 'green'), (9, 'yellow'), (2, 'purple'), (3, 'purple'), (6, 'blue'), (7, 'purple'), (4, 'blue'), (1, 'yellow')]",3.2937211990356445
16,4,1,11,14,3,10,"[(3, 'purple'), (1, 'yellow'), (5, 'red'), (6, 'blue'), (2, 'blue'), (6, 'blue'), (12, 'green'), (4, 'blue'), (7, 'purple'), (13, 'green')]",15.651418209075928
17,4,1,11,16,3,20,"[(15, 'red'), (13, 'yellow'), (5, 'purple'), (3, 'blue'), (11, 'red'), (9, 'red'), (11, 'red'), (7, 'purple'), (2, 'blue'), (0, 'blue'), (5, 'green'), (4, 'blue'), (15, 'purple'), (3, 'red'), (9, 'yellow'), (13, 'green'), (1, 'red'), (5, 'red'), (7, 'purple'), (1, 'yellow')]",6.594500541687012
18,4,1,11,15,3,16,"[(3, 'purple'), (1, 'yellow'), (6, 'blue'), (5, 'yellow'), (1, 'yellow'), (7, 'purple'), (5, 'red'), (2, 'blue'), (12, 'green'), (0, 'blue'), (9, 'yellow'), (6, 'purple'), (13, 'green'), (1, 'yellow'), (4, 'blue'), (7, 'purple')]",7.222616672515869
19,4,1,11,18,3,10,"[(6, 'blue'), (12, 'green'), (3, 'purple'), (7, 'purple'), (1, 'yellow'), (4, 'blue'), (5, 'red'), (6, 'purple'), (13, 'green'), (7, 'purple')]",8.334278106689453
20,4,1,11,20,3,18,"[(0, 'purple'), (1, 'yellow'), (12, 'green'), (14, 'green'), (2, 'purple'), (5, 'red'), (6, 'blue'), (9, 'yellow'), (10, 'purple'), (15, 'green'), (1, 'yellow'), (13, 'green'), (14, 'purple'), (0, 'yellow'), (4, 'blue'), (15, 'purple'), (1, 'yellow'), (7, 'purple')]",5.7528769969940186
21,4,1,11,15,3,8,"[(3, 'purple'), (1, 'yellow'), (6, 'blue'), (7, 'purple'), (5, 'red'), (12, 'green'), (4, 'blue'), (13, 'green')]",16.073539972305298
22,4,1,11,15,3,14,"[(3, 'purple'), (1, 'yellow'), (6, 'green'), (14, 'green'), (5, 'red'), (15, 'green'), (6, 'blue'), (7, 'purple'), (0, 'yellow'), (4, 'blue'), (12, 'blue'), (13, 'green'), (4, 'blue'), (1, 'yellow')]",11.367649555206299
23,4,1,11,16,3,12,"[(3, 'purple'), (1, 'yellow'), (6, 'blue'), (5, 'red'), (12, 'green'), (4, 'green'), (12, 'green'), (4, 'blue'), (9, 'yellow'), (1, 'yellow'), (7, 'purple'), (13, 'green')]",14.095049858093262
24,4,1,11,18,3,14,"[(9, 'purple'), (6, 'blue'), (1, 'yellow'), (5, 'red'), (12, 'green'), (14, 'blue'), (11, 'purple'), (13, 'green'), (12, 'blue'), (15, 'purple'), (4, 'blue'), (9, 'yellow'), (7, 'purple'), (1, 'yellow')]",18.415186405181885
25,4,1,11,17,3,10,"[(3, 'purple'), (6, 'blue'), (1, 'yellow'), (5, 'red'), (7, 'purple'), (12, 'green'), (4, 'green'), (12, 'green'), (4, 'blue'), (13, 'green')]",12.539129257202148
26,4,1,11,20,3,16,"[(12, 'green'), (4, 'yellow'), (0, 'purple'), (6, 'blue'), (5, 'yellow'), (1, 'yellow'), (4, 'blue'), (5, 'red'), (13, 'green'), (8, 'purple'), (0, 'yellow'), (12, 'purple'), (1, 'yellow'), (14, 'purple'), (6, 'purple'), (7, 'purple')]",11.480100393295288
27,4,1,11,11,3,8,"[(3, 'purple'), (1, 'yellow'), (5, 'red'), (12, 'green'), (6, 'blue'), (7, 'purple'), (4, 'blue'), (13, 'green')]",6.511844873428345
28,4,1,11,16,3,8,"[(3, 'purple'), (1, 'yellow'), (12, 'green'), (6, 'blue'), (4, 'blue'), (7, 'purple'), (5, 'red'), (13, 'green')]",5.806565284729004
29,4,1,11,15,3,18,"[(6, 'blue'), (3, 'purple'), (2, 'purple'), (10, 'purple'), (7, 'yellow'), (14, 'purple'), (0, 'green'), (5, 'yellow'), (8, 'green'), (10, 'purple'), (9, 'green'), (11, 'purple'), (1, 'yellow'), (4, 'blue'), (5, 'red'), (13, 'green'), (15, 'purple'), (7, 'purple')]",19.308732748031616
30,4,1,11,15,3,8,"[(3, 'purple'), (1, 'yellow'), (5, 'red'), (12, 'green'), (6, 'blue'), (7, 'purple'), (4, 'blue'), (13, 'green')]",19.452478170394897
31,4,1,11,14,3,10,"[(0, 'purple'), (6, 'blue'), (12, 'green'), (1, 'yellow'), (5, 'red'), (13, 'green'), (2, 'purple'), (3, 'purple'), (7, 'purple'), (4, 'blue')]",16.56457281112671
32,4,1,11,11,3,10,"[(3, 'purple'), (12, 'green'), (2, 'purple'), (1, 'yellow'), (5, 'red'), (13, 'green'), (6, 'blue'), (3, 'purple'), (7, 'purple'), (4, 'blue')]",10.830628871917725
33,4,1,11,22,3,14,"[(6, 'blue'), (12, 'green'), (0, 'purple'), (1, 'yellow'), (5, 'red'), (4, 'blue'), (8, 'purple'), (13, 'green'), (12, 'purple'), (0, 'blue'), (4, 'purple'), (6, 'purple'), (4, 'blue'), (7, 'purple')]",26.28177261352539
34,4,1,11,14,3,12,"[(3, 'purple'), (12, 'green'), (6, 'blue'), (4, 'blue'), (15, 'red'), (13, 'green'), (1, 'yellow'), (11, 'purple'), (7, 'red'), (5, 'red'), (3, 'purple'), (7, 'purple')]",4.497873544692993
35,4,1,11,24,3,16,"[(6, 'blue'), (0, 'green'), (9, 'purple'), (4, 'blue'), (8, 'green'), (1, 'yellow'), (11, 'purple'), (5, 'red'), (0, 'blue'), (4, 'blue'), (12, 'green'), (3, 'purple'), (13, 'green'), (9, 'green'), (7, 'purple'), (13, 'green')]",20.548818588256836
36,4,1,11,21,3,14,"[(9, 'purple'), (1, 'yellow'), (12, 'green'), (5, 'red'), (11, 'purple'), (3, 'purple'), (15, 'blue'), (13, 'green'), (14, 'blue'), (11, 'purple'), (6, 'blue'), (4, 'blue'), (3, 'purple'), (7, 'purple')]",22.080567359924316
37,4,1,11,19,3,12,"[(12, 'green'), (9, 'purple'), (11, 'purple'), (1, 'yellow'), (5, 'red'), (3, 'purple'), (6, 'blue'), (7, 'purple'), (4, 'blue'), (14, 'green'), (15, 'green'), (13, 'green')]",19.50464653968811
38,4,1,11,15,3,10,"[(12, 'green'), (3, 'purple'), (1, 'yellow'), (5, 'blue'), (2, 'purple'), (6, 'purple'), (4, 'blue'), (5, 'red'), (7, 'purple'), (13, 'green')]",8.73833680152893
39,4,1,11,17,3,16,"[(9, 'red'), (12, 'green'), (13, 'green'), (3, 'purple'), (8, 'red'), (1, 'yellow'), (6, 'blue'), (0, 'red'), (7, 'purple'), (4, 'red'), (5, 'red'), (15, 'purple'), (0, 'yellow'), (4, 'blue'), (1, 'yellow'), (7, 'purple')]",6.846625328063965
40,4,1,11,20,3,16,"[(0, 'purple'), (6, 'blue'), (12, 'green'), (1, 'yellow'), (15, 'red'), (4, 'blue'), (2, 'purple'), (14, 'red'), (13, 'green'), (15, 'red'), (12, 'green'), (13, 'red'), (5, 'red'), (13, 'green'), (3, 'purple'), (7, 'purple')]",13.357789754867554
41,4,1,11,18,3,14,"[(3, 'purple'), (1, 'yellow'), (5, 'green'), (6, 'blue'), (7, 'purple'), (4, 'blue'), (12, 'red'), (13, 'green'), (3, 'purple'), (0, 'blue'), (7, 'purple'), (4, 'red'), (5, 'red'), (4, 'blue')]",22.030361652374268
42,4,1,11,15,3,12,"[(3, 'purple'), (1, 'yellow'), (6, 'blue'), (5, 'red'), (12, 'green'), (4, 'blue'), (7, 'purple'), (0, 'yellow'), (1, 'yellow'), (6, 'blue'), (4, 'blue'), (13, 'green')]",7.651832103729248
43,4,1,11,17,3,14,"[(12, 'green'), (3, 'purple'), (1, 'yellow'), (15, 'blue'), (5, 'red'), (7, 'blue'), (13, 'green'), (6, 'blue'), (7, 'purple'), (15, 'green'), (9, 'yellow'), (1, 'yellow'), (13, 'green'), (4, 'blue')]",11.115772247314453
44,4,1,11,17,3,12,"[(12, 'green'), (3, 'purple'), (14, 'green'), (6, 'blue'), (1, 'yellow'), (12, 'green'), (7, 'purple'), (5, 'red'), (13, 'red'), (5, 'red'), (4, 'blue'), (13, 'green')]",7.35686469078064
45,4,1,11,22,3,18,"[(3, 'purple'), (1, 'yellow'), (5, 'blue'), (7, 'purple'), (12, 'red'), (6, 'green'), (4, 'blue'), (3, 'yellow'), (1, 'yellow'), (14, 'green'), (3, 'purple'), (13, 'red'), (5, 'red'), (12, 'green'), (11, 'purple'), (13, 'green'), (3, 'purple'), (7, 'purple')]",18.08560800552368
46,4,1,11,14,3,10,"[(3, 'purple'), (6, 'blue'), (1, 'yellow'), (5, 'red'), (12, 'green'), (4, 'blue'), (7, 'purple'), (8, 'green'), (9, 'green'), (13, 'green')]",12.736522912979126
47,4,1,11,26,3,20,"[(6, 'blue'), (9, 'purple'), (0, 'green'), (1, 'yellow'), (2, 'blue'), (5, 'red'), (8, 'green'), (12, 'green'), (13, 'green'), (11, 'purple'), (3, 'blue'), (2, 'blue'), (3, 'purple'), (7, 'purple'), (6, 'blue'), (15, 'green'), (4, 'red'), (13, 'green'), (5, 'red'), (4, 'blue')]",32.76157212257385
48,4,1,11,14,3,12,"[(3, 'purple'), (1, 'yellow'), (6, 'blue'), (5, 'red'), (12, 'green'), (7, 'purple'), (14, 'green'), (13, 'red'), (5, 'red'), (4, 'blue'), (15, 'green'), (13, 'green')]",8.508828401565552
49,4,1,11,15,3,10,"[(12, 'green'), (4, 'yellow'), (5, 'red'), (13, 'green'), (0, 'yellow'), (3, 'purple'), (6, 'blue'), (1, 'yellow'), (4, 'blue'), (7, 'purple')]",6.157416343688965
50,4,1,11,16,3,16,"[(9, 'purple'), (1, 'yellow'), (12, 'green'), (6, 'blue'), (5, 'red'), (11, 'purple'), (2, 'blue'), (7, 'red'), (6, 'blue'), (3, 'purple'), (13, 'green'), (4, 'blue'), (9, 'yellow'), (1, 'yellow'), (5, 'red'), (7, 'purple')]",16.068666696548462
51,4,1,11,20,3,14,"[(0, 'green'), (6, 'blue'), (3, 'purple'), (4, 'blue'), (7, 'yellow'), (5, 'yellow'), (7, 'purple'), (8, 'green'), (1, 'yellow'), (12, 'green'), (5, 'red'), (3, 'yellow'), (1, 'yellow'), (13, 'green')]",21.88521671295166
52,4,1,11,16,3,10,"[(3, 'purple'), (1, 'yellow'), (6, 'green'), (5, 'red'), (14, 'green'), (6, 'blue'), (12, 'green'), (4, 'blue'), (13, 'green'), (7, 'purple')]",9.793701648712158
53,4,1,11,14,3,8,"[(3, 'purple'), (1, 'yellow'), (6, 'blue'), (5, 'red'), (12, 'green'), (7, 'purple'), (4, 'blue'), (13, 'green')]",16.312560558319092
54,4,1,11,20,3,16,"[(9, 'purple'), (1, 'yellow'), (5, 'red'), (13, 'purple'), (3, 'blue'), (12, 'green'), (4, 'green'), (12, 'green'), (15, 'purple'), (13, 'green'), (2, 'blue'), (7, 'purple'), (0, 'blue'), (3, 'yellow'), (1, 'yellow'), (4, 'blue')]",12.952778577804565
55,4,1,11,15,3,16,"[(3, 'purple'), (15, 'blue'), (12, 'green'), (9, 'red'), (14, 'blue'), (13, 'green'), (1, 'yellow'), (8, 'red'), (12, 'green'), (13, 'green'), (0, 'red'), (7, 'purple'), (4, 'red'), (12, 'blue'), (5, 'red'), (4, 'blue')]",8.679972887039185
56,4,1,11,15,3,12,"[(12, 'green'), (4, 'yellow'), (5, 'red'), (3, 'purple'), (13, 'green'), (0, 'yellow'), (6, 'blue'), (7, 'purple'), (15, 'purple'), (7, 'purple'), (1, 'yellow'), (4, 'blue')]",6.45465087890625
57,4,1,11,12,3,10,"[(3, 'purple'), (1, 'yellow'), (11, 'purple'), (5, 'red'), (6, 'blue'), (12, 'green'), (4, 'blue'), (3, 'purple'), (7, 'purple'), (13, 'green')]",9.534463882446289
58,4,1,11,19,3,12,"[(3, 'purple'), (1, 'yellow'), (5, 'red'), (6, 'blue'), (7, 'purple'), (3, 'purple'), (12, 'green'), (4, 'blue'), (7, 'purple'), (6, 'purple'), (13, 'green'), (7, 'purple')]",12.472955465316772
59,4,1,11,19,3,18,"[(0, 'purple'), (1, 'yellow'), (15, 'blue'), (5, 'red'), (14, 'blue'), (12, 'green'), (8, 'purple'), (10, 'purple'), (11, 'purple'), (7, 'red'), (6, 'blue'), (15, 'purple'), (14, 'green'), (4, 'blue'), (5, 'red'), (7, 'purple'), (15, 'green'), (13, 'green')]",10.424257516860962
60,4,1,11,17,3,12,"[(3, 'purple'), (1, 'yellow'), (5, 'red'), (6, 'blue'), (7, 'purple'), (12, 'green'), (13, 'green'), (0, 'yellow'), (4, 'red'), (5, 'red'), (4, 'blue'), (1, 'yellow')]",20.36875009536743
61,4,1,11,10,3,12,"[(12, 'green'), (4, 'yellow'), (5, 'red'), (14, 'green'), (6, 'blue'), (15, 'green'), (0, 'yellow'), (3, 'purple'), (7, 'purple'), (1, 'yellow'), (4, 'blue'), (13, 'green')]",9.26605749130249
62,4,1,11,15,3,20,"[(6, 'green'), (4, 'yellow'), (15, 'blue'), (14, 'green'), (12, 'yellow'), (5, 'red'), (7, 'blue'), (3, 'purple'), (8, 'yellow'), (6, 'blue'), (12, 'green'), (11, 'purple'), (4, 'blue'), (0, 'yellow'), (13, 'green'), (12, 'blue'), (1, 'yellow'), (3, 'purple'), (4, 'blue'), (7, 'purple')]",3.293205738067627
63,4,1,11,17,3,16,"[(12, 'green'), (9, 'purple'), (1, 'yellow'), (5, 'red'), (11, 'purple'), (14, 'green'), (6, 'blue'), (15, 'green'), (13, 'green'), (3, 'purple'), (4, 'blue'), (9, 'green'), (0, 'yellow'), (7, 'purple'), (13, 'green'), (1, 'yellow')]",20.579240798950195
64,4,1,11,16,3,18,"[(9, 'red'), (6, 'blue'), (13, 'yellow'), (5, 'purple'), (1, 'red'), (14, 'blue'), (9, 'yellow'), (12, 'green'), (7, 'purple'), (5, 'red'), (4, 'red'), (1, 'yellow'), (13, 'green'), (3, 'purple'), (6, 'blue'), (7, 'purple'), (5, 'red'), (4, 'blue')]",9.30013108253479
65,4,1,11,19,3,12,"[(3, 'purple'), (1, 'yellow'), (5, 'red'), (6, 'blue'), (12, 'green'), (2, 'blue'), (6, 'blue'), (7, 'purple'), (14, 'blue'), (13, 'green'), (6, 'blue'), (4, 'blue')]",10.07967758178711
66,4,1,11,14,3,18,"[(3, 'purple'), (1, 'yellow'), (11, 'purple'), (6, 'blue'), (0, 'green'), (3, 'purple'), (14, 'blue'), (8, 'green'), (5, 'red'), (9, 'green'), (11, 'purple'), (0, 'yellow'), (12, 'blue'), (15, 'purple'), (13, 'green'), (4, 'blue'), (7, 'purple'), (1, 'yellow')]",11.982098817825317
67,4,1,11,18,3,12,"[(3, 'purple'), (1, 'yellow'), (12, 'green'), (5, 'red'), (6, 'blue'), (7, 'purple'), (2, 'blue'), (13, 'green'), (3, 'yellow'), (6, 'blue'), (1, 'yellow'), (4, 'blue')]",7.110649347305298
68,4,1,11,16,3,16,"[(6, 'green'), (0, 'purple'), (14, 'green'), (1, 'yellow'), (5, 'blue'), (3, 'yellow'), (15, 'green'), (2, 'purple'), (1, 'yellow'), (4, 'blue'), (7, 'green'), (5, 'red'), (6, 'purple'), (15, 'green'), (7, 'purple'), (13, 'green')]",5.298551559448242
