,d,k,l,level,Min,Moves,CPU Time
0,4,3,11,3,61,[],173.83135151863098
1,4,3,11,3,40,[],117.73382019996643
2,4,3,11,3,71,[],152.89011001586914
3,4,3,11,3,36,[],61.85968327522278
4,4,3,11,3,65,[],185.86997818946838
5,4,3,11,3,62,[],167.87745690345764
6,4,3,11,3,45,[],164.89557456970215
7,4,3,11,3,21,[],125.6567497253418
8,4,3,11,3,35,[],69.13890266418457
9,4,3,11,3,46,[],113.28942108154297
10,4,3,11,3,47,[],124.0562195777893
11,4,3,11,3,49,[],148.80351996421814
12,4,3,11,3,27,[],193.63966631889343
13,4,3,11,3,44,[],206.09053230285645
14,4,3,11,3,51,[],138.09989213943481
15,4,3,11,3,56,[],172.1762731075287
16,4,3,11,3,65,[],143.16023588180542
17,4,3,11,3,25,[],146.30886578559875
18,4,3,11,3,50,[],147.17361664772034
19,4,3,11,3,47,[],115.23607277870178
20,4,3,11,3,39,[],142.2605516910553
21,4,3,11,3,16,[],167.8506441116333
22,4,3,11,3,33,[],172.96529150009155
23,4,3,11,3,31,[],104.12246251106262
24,4,3,11,3,55,[],234.86951184272766
25,4,3,11,3,55,[],132.8643171787262
26,4,3,11,3,84,[],230.43869185447693
27,4,3,11,3,51,[],202.56895303726196
28,4,3,11,3,54,[],150.34230160713196
29,4,3,11,3,98,[],170.55218601226807
30,4,3,11,3,48,[],111.09670805931091
31,4,3,11,3,51,[],159.59592866897583
32,4,3,11,3,68,[],220.61080265045166
33,4,3,11,3,34,[],220.6412432193756
34,4,3,11,3,30,[],182.08470845222473
35,4,3,11,3,30,[],94.14844965934753
36,4,3,11,3,49,[],140.9345989227295
37,4,3,11,3,30,[],144.83613085746765
38,4,3,11,3,53,[],161.00111055374146
39,4,3,11,3,51,[],215.02807664871216
40,4,3,11,3,80,[],185.60624766349792
41,4,3,11,3,77,[],184.01708030700684
42,4,3,11,3,45,[],100.58774423599243
43,4,3,11,3,34,[],172.67882657051086
44,4,3,11,3,62,[],97.78620505332947
45,4,3,11,3,18,[],176.33855080604553
46,4,3,11,3,85,[],166.9384434223175
47,4,3,11,3,42,[],173.93097805976868
48,4,3,11,3,49,[],145.7176730632782
49,4,3,11,3,70,[],146.31087589263916
50,4,3,11,3,19,[],126.42378282546997
51,4,3,11,3,24,[],64.03790712356567
52,4,3,11,3,61,[],149.97203969955444
53,4,3,11,3,32,[],119.24791979789734
54,4,3,11,3,74,[],156.4099760055542
55,4,3,11,3,42,[],85.69533729553223
56,4,3,11,3,19,[],119.2792329788208
57,4,3,11,3,57,[],117.75925993919373
58,4,3,11,3,48,[],115.36306262016296
59,4,3,11,3,61,[],133.7347447872162
60,4,3,11,3,55,[],121.85634708404541
61,4,3,11,3,25,[],88.2389407157898
62,4,3,11,3,23,[],90.22462058067322
63,4,3,11,3,38,[],113.78794479370117
64,4,3,11,3,65,[],132.53871202468872
65,4,3,11,3,32,[],74.22770380973816
66,4,3,11,3,76,[],201.6489541530609
67,4,3,11,3,88,[],296.1222484111786
68,4,3,11,3,63,[],181.15636348724365
69,4,3,11,3,28,[],80.59856700897217
70,4,3,11,3,64,[],148.09603881835938
71,4,3,11,3,54,[],114.27486872673035
72,4,3,11,3,34,[],87.11611342430115
73,4,3,11,3,49,[],121.6447525024414
74,4,3,11,3,37,[],101.07178831100464
75,4,3,11,3,55,[],102.93715167045593
76,4,3,11,3,47,[],82.59213733673096
77,4,3,11,3,74,[],202.41504096984863
78,4,3,11,3,64,[],152.11888217926025
79,4,3,11,3,28,[],184.03295969963074
80,4,3,11,3,35,[],130.00729513168335
81,4,3,11,3,38,[],131.5703752040863
82,4,3,11,3,69,[],180.66205024719238
83,4,3,11,3,25,[],120.26348733901978
84,4,3,11,3,68,[],124.61310148239136
85,4,3,11,3,53,[],185.7403745651245
86,4,3,11,3,83,[],138.64952564239502
87,4,3,11,3,56,[],140.15356063842773
88,4,3,11,3,75,[],199.10653042793274
89,4,3,11,3,50,[],188.31162023544312
90,4,3,11,3,22,[],91.56121134757996
91,4,3,11,3,59,[],186.55197596549988
92,4,3,11,3,56,[],196.69761300086975
93,4,3,11,3,22,[],101.25697135925293
94,4,3,11,3,59,[],151.6263782978058
95,4,3,11,3,65,[],126.31093430519104
96,4,3,11,3,45,[],79.33215188980103
97,4,3,11,3,23,[],67.96610689163208
98,4,3,11,3,57,[],109.57461857795715
99,4,3,11,3,68,[],119.77866291999817
100,4,3,11,3,19,[],105.83699083328247
101,4,3,11,3,78,[],134.0420479774475
102,4,3,11,3,43,[],108.93022871017456
103,4,3,11,3,36,[],136.82572650909424
104,4,3,11,3,30,[],160.3550443649292
105,4,3,11,3,59,[],169.76614999771118
106,4,3,11,3,75,[],202.1493203639984
107,4,3,11,3,66,[],171.20945835113525
108,4,3,11,3,31,[],104.21307444572449
109,4,3,11,3,65,[],107.60885310173035
110,4,3,11,3,11,[],141.87412810325623
111,4,3,11,3,62,[],119.78122520446777
112,4,3,11,3,91,[],232.83976221084595
113,4,3,11,3,55,[],173.6356110572815
114,4,3,11,3,38,[],178.02252912521362
115,4,3,11,3,54,[],149.6253628730774
116,4,3,11,3,123,[],309.8519082069397
117,4,3,11,3,53,[],203.66565918922424
118,4,3,11,3,58,[],181.95804071426392
119,4,3,11,3,46,[],90.47367906570435
120,4,3,11,3,82,[],177.64661312103271
121,4,3,11,3,33,[],169.92945528030396
122,4,3,11,3,82,[],175.44845914840698
123,4,3,11,3,50,[],152.94913458824158
124,4,3,11,3,53,[],132.88928365707397
125,4,3,11,3,72,[],162.13813281059265
126,4,3,11,3,48,[],124.9290885925293
127,4,3,11,3,56,[],105.64448022842407
128,4,3,11,3,68,[],137.8741536140442
129,4,3,11,3,45,[],150.5825469493866
130,4,3,11,3,52,[],137.77790117263794
131,4,3,11,3,68,[],161.0698366165161
132,4,3,11,3,106,[],175.75244879722595
133,4,3,11,3,65,[],133.46004676818848
134,4,3,11,3,74,[],139.02646112442017
135,4,3,11,3,26,[],153.1417372226715
136,4,3,11,3,54,[],140.51027846336365
137,4,3,11,3,53,[],132.16061282157898
138,4,3,11,3,60,[],185.38583159446716
139,4,3,11,3,56,[],120.2375180721283
140,4,3,11,3,82,[],163.57273197174072
141,4,3,11,3,50,[],128.0986683368683
142,4,3,11,3,44,[],157.60300588607788
143,4,3,11,3,45,[],127.0444815158844
144,4,3,11,3,28,[],143.80206203460693
145,4,3,11,3,56,[],148.2701768875122
146,4,3,11,3,31,[],116.66350722312927
147,4,3,11,3,30,[],188.28365898132324
148,4,3,11,3,68,[],153.0483694076538
149,4,3,11,3,22,[],95.21240067481995
