,d,k,l,t,level,Min,Moves,CPU Time
0,5,2,26,30,0,9,"[(26, 'green'), (13, 'purple'), (29, 'blue'), (15, 'purple'), (28, 'green'), (30, 'purple'), (20, 'green'), (16, 'green'), (17, 'green')]",37.97392654418945
1,5,2,26,18,0,10,"[(25, 'blue'), (13, 'purple'), (22, 'green'), (29, 'purple'), (15, 'purple'), (16, 'green'), (29, 'blue'), (20, 'green'), (30, 'purple'), (17, 'green')]",11.455029964447021
2,5,2,26,13,0,5,"[(18, 'green'), (21, 'blue'), (30, 'purple'), (29, 'blue'), (17, 'green')]",15.478357553482056
3,5,2,26,28,0,8,"[(28, 'purple'), (25, 'blue'), (23, 'green'), (29, 'blue'), (15, 'green'), (30, 'purple'), (23, 'green'), (17, 'green')]",37.8055579662323
4,5,2,26,18,0,7,"[(24, 'purple'), (29, 'blue'), (26, 'green'), (28, 'purple'), (25, 'green'), (17, 'green'), (30, 'purple')]",10.113690853118896
5,5,2,26,21,0,14,"[(21, 'blue'), (13, 'purple'), (22, 'green'), (16, 'blue'), (17, 'blue'), (28, 'purple'), (21, 'blue'), (29, 'blue'), (23, 'green'), (19, 'green'), (20, 'purple'), (17, 'green'), (18, 'purple'), (30, 'purple')]",21.799996614456177
6,5,2,26,18,0,6,"[(26, 'green'), (30, 'purple'), (16, 'green'), (25, 'blue'), (17, 'green'), (29, 'blue')]",23.085952520370483
7,5,2,26,23,0,9,"[(24, 'blue'), (20, 'purple'), (29, 'blue'), (28, 'green'), (26, 'green'), (30, 'purple'), (18, 'green'), (16, 'green'), (17, 'green')]",32.32024931907654
8,5,2,26,34,0,10,"[(20, 'purple'), (25, 'blue'), (31, 'green'), (30, 'purple'), (28, 'blue'), (29, 'blue'), (23, 'green'), (22, 'green'), (19, 'green'), (17, 'green')]",19.394197940826416
9,5,2,26,26,0,12,"[(25, 'purple'), (19, 'blue'), (26, 'green'), (16, 'green'), (31, 'purple'), (17, 'green'), (30, 'purple'), (26, 'blue'), (27, 'blue'), (19, 'blue'), (23, 'blue'), (29, 'blue')]",37.10329222679138
10,5,2,26,13,0,5,"[(20, 'green'), (30, 'purple'), (25, 'blue'), (17, 'green'), (29, 'blue')]",16.93267297744751
11,5,2,26,18,0,10,"[(26, 'green'), (30, 'purple'), (18, 'green'), (29, 'blue'), (12, 'purple'), (19, 'green'), (8, 'purple'), (17, 'green'), (24, 'purple'), (30, 'purple')]",21.787761449813843
12,5,2,26,19,0,9,"[(22, 'green'), (26, 'green'), (27, 'green'), (25, 'blue'), (31, 'purple'), (21, 'blue'), (29, 'blue'), (17, 'green'), (30, 'purple')]",11.963311433792114
13,5,2,26,30,0,12,"[(13, 'purple'), (29, 'blue'), (10, 'green'), (12, 'purple'), (9, 'purple'), (25, 'purple'), (26, 'purple'), (8, 'green'), (24, 'green'), (30, 'purple'), (16, 'green'), (17, 'green')]",43.09182047843933
14,5,2,26,23,0,12,"[(21, 'blue'), (31, 'purple'), (26, 'green'), (30, 'purple'), (25, 'green'), (29, 'blue'), (20, 'yellow'), (9, 'green'), (8, 'green'), (25, 'green'), (4, 'yellow'), (17, 'green')]",13.49166750907898
15,5,2,26,22,0,11,"[(26, 'green'), (28, 'purple'), (27, 'green'), (12, 'purple'), (16, 'blue'), (30, 'purple'), (29, 'green'), (21, 'green'), (25, 'blue'), (29, 'blue'), (17, 'green')]",29.084309339523315
16,5,2,26,25,0,9,"[(27, 'green'), (30, 'purple'), (16, 'red'), (29, 'blue'), (12, 'yellow'), (0, 'red'), (25, 'green'), (4, 'yellow'), (17, 'green')]",34.76183247566223
17,5,2,26,14,0,8,"[(26, 'green'), (23, 'purple'), (30, 'purple'), (19, 'blue'), (27, 'blue'), (16, 'green'), (17, 'green'), (29, 'blue')]",9.705706119537354
18,5,2,26,33,0,12,"[(31, 'green'), (28, 'purple'), (30, 'purple'), (25, 'blue'), (23, 'green'), (17, 'green'), (2, 'red'), (29, 'blue'), (8, 'red'), (22, 'purple'), (0, 'red'), (30, 'purple')]",44.08346366882324
19,5,2,26,20,0,6,"[(22, 'green'), (28, 'purple'), (30, 'purple'), (29, 'blue'), (19, 'green'), (17, 'green')]",27.190661907196045
20,5,2,26,25,0,9,"[(26, 'green'), (31, 'purple'), (16, 'red'), (0, 'red'), (29, 'blue'), (24, 'green'), (30, 'purple'), (25, 'green'), (17, 'green')]",34.45711302757263
21,5,2,26,14,0,6,"[(14, 'green'), (30, 'purple'), (29, 'blue'), (7, 'green'), (21, 'green'), (17, 'green')]",14.896843671798706
22,5,2,26,21,0,8,"[(21, 'blue'), (28, 'green'), (31, 'purple'), (24, 'green'), (29, 'blue'), (30, 'purple'), (25, 'green'), (17, 'green')]",27.965057849884033
23,5,2,26,14,0,10,"[(20, 'green'), (28, 'green'), (24, 'green'), (20, 'green'), (28, 'purple'), (29, 'blue'), (22, 'green'), (30, 'purple'), (16, 'green'), (17, 'green')]",21.572672367095947
24,5,2,26,19,0,7,"[(26, 'green'), (31, 'purple'), (29, 'blue'), (30, 'purple'), (27, 'green'), (19, 'green'), (17, 'green')]",16.901958227157593
25,5,2,26,21,0,10,"[(27, 'blue'), (18, 'green'), (17, 'green'), (12, 'purple'), (30, 'purple'), (24, 'blue'), (8, 'blue'), (9, 'blue'), (13, 'blue'), (29, 'blue')]",23.349985122680664
26,5,2,26,22,0,9,"[(22, 'green'), (30, 'purple'), (25, 'blue'), (18, 'green'), (17, 'green'), (13, 'blue'), (15, 'blue'), (31, 'blue'), (29, 'blue')]",31.12723135948181
27,5,2,26,29,0,6,"[(31, 'purple'), (29, 'blue'), (22, 'green'), (30, 'purple'), (21, 'green'), (17, 'green')]",39.63592195510864
28,5,2,26,26,0,10,"[(12, 'purple'), (28, 'green'), (10, 'purple'), (24, 'green'), (8, 'green'), (29, 'blue'), (14, 'purple'), (30, 'purple'), (24, 'green'), (17, 'green')]",18.4770290851593
29,5,2,26,18,0,10,"[(12, 'purple'), (29, 'blue'), (14, 'purple'), (31, 'green'), (30, 'purple'), (11, 'green'), (19, 'green'), (21, 'blue'), (29, 'blue'), (17, 'green')]",25.78875184059143
30,5,2,26,12,0,7,"[(31, 'purple'), (26, 'green'), (30, 'purple'), (25, 'blue'), (29, 'blue'), (24, 'green'), (17, 'green')]",6.464226484298706
31,5,2,26,22,0,13,"[(27, 'purple'), (29, 'blue'), (31, 'green'), (7, 'green'), (31, 'purple'), (6, 'yellow'), (28, 'blue'), (30, 'purple'), (23, 'green'), (19, 'green'), (17, 'green'), (29, 'blue'), (4, 'yellow')]",32.66587233543396
