,d,k,l,level,Min,Moves,CPU Time
0,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",16.15896487236023
1,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",16.432166814804077
2,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",16.306862115859985
3,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",16.170222759246826
4,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",16.360783100128174
5,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",16.244832754135132
6,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",15.418845891952515
7,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",16.101440906524658
8,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",16.13040781021118
9,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",15.953052282333374
10,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",15.951457023620605
11,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",16.25811505317688
12,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",16.169190168380737
13,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",15.929147005081177
14,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",15.704493761062622
15,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",15.926759958267212
16,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",15.550727844238281
17,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",15.99020504951477
18,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",15.735235929489136
19,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",15.501727104187012
20,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",15.735243082046509
21,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",15.50479793548584
22,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",15.757816791534424
23,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",15.726015090942383
24,4,2,11,0,6,"[(12.0, 'green'), (3.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",15.666209936141968
