,d,k,l,t,level,Min,Moves,CPU Time
0,3,2,4,93,2,18,"[(2, 'purple'), (7, 'purple'), (6, 'red'), (2, 'blue'), (4, 'green'), (1, 'purple'), (5, 'purple'), (1, 'purple'), (7, 'purple'), (0, 'green'), (1, 'purple'), (5, 'red'), (7, 'blue'), (2, 'green'), (4, 'green'), (0, 'green'), (4, 'green'), (6, 'blue')]",71.60268688201904
1,3,2,4,33,2,17,"[(2, 'blue'), (1, 'green'), (7, 'green'), (3, 'blue'), (5, 'red'), (1, 'red'), (0, 'purple'), (6, 'purple'), (4, 'purple'), (0, 'purple'), (4, 'green'), (2, 'blue'), (5, 'red'), (3, 'blue'), (6, 'blue'), (3, 'purple'), (1, 'purple')]",23.084320068359375
2,3,2,4,38,2,18,"[(7, 'purple'), (6, 'red'), (2, 'blue'), (4, 'green'), (1, 'purple'), (5, 'purple'), (1, 'purple'), (3, 'purple'), (1, 'green'), (7, 'red'), (0, 'blue'), (6, 'blue'), (4, 'green'), (0, 'purple'), (1, 'red'), (3, 'red'), (5, 'red'), (1, 'purple')]",27.00909996032715
3,3,2,4,105,2,18,"[(7, 'purple'), (6, 'red'), (2, 'blue'), (4, 'green'), (1, 'purple'), (3, 'purple'), (1, 'purple'), (3, 'purple'), (1, 'purple'), (3, 'purple'), (0, 'green'), (4, 'red'), (1, 'purple'), (3, 'blue'), (5, 'red'), (4, 'green'), (2, 'blue'), (6, 'blue')]",80.64841055870056
4,3,2,4,53,2,16,"[(3, 'blue'), (0, 'blue'), (3, 'green'), (1, 'green'), (3, 'purple'), (5, 'red'), (2, 'blue'), (6, 'blue'), (0, 'blue'), (7, 'red'), (6, 'blue'), (4, 'green'), (1, 'purple'), (0, 'purple'), (5, 'red'), (1, 'purple')]",45.683735847473145
5,3,2,4,30,2,13,"[(2, 'purple'), (7, 'purple'), (6, 'red'), (2, 'blue'), (0, 'green'), (1, 'purple'), (5, 'red'), (3, 'blue'), (2, 'green'), (6, 'green'), (4, 'green'), (7, 'blue'), (6, 'blue')]",16.242812156677246
6,3,2,4,24,2,11,"[(0, 'blue'), (1, 'green'), (3, 'purple'), (7, 'red'), (6, 'blue'), (4, 'green'), (0, 'green'), (4, 'green'), (2, 'purple'), (5, 'red'), (1, 'purple')]",13.1811044216156
7,3,2,4,192,2,14,"[(3, 'blue'), (0, 'blue'), (1, 'green'), (3, 'purple'), (5, 'red'), (6, 'blue'), (0, 'blue'), (7, 'red'), (6, 'blue'), (4, 'green'), (1, 'purple'), (0, 'purple'), (5, 'red'), (1, 'purple')]",108.51565408706665
8,3,2,4,101,2,14,"[(7, 'purple'), (6, 'red'), (2, 'blue'), (4, 'green'), (1, 'purple'), (7, 'purple'), (0, 'green'), (1, 'purple'), (5, 'red'), (6, 'blue'), (7, 'blue'), (3, 'blue'), (4, 'green'), (6, 'blue')]",78.64608001708984
9,3,2,4,51,2,11,"[(3, 'blue'), (0, 'blue'), (1, 'green'), (3, 'purple'), (7, 'red'), (6, 'blue'), (4, 'green'), (1, 'purple'), (2, 'purple'), (5, 'red'), (1, 'purple')]",22.844451189041138
10,3,2,4,50,2,14,"[(2, 'purple'), (6, 'purple'), (0, 'blue'), (1, 'green'), (3, 'purple'), (7, 'red'), (6, 'blue'), (4, 'green'), (2, 'purple'), (1, 'purple'), (0, 'purple'), (5, 'red'), (3, 'purple'), (1, 'purple')]",43.06599807739258
11,3,2,4,48,2,10,"[(3, 'blue'), (2, 'blue'), (7, 'green'), (3, 'blue'), (1, 'red'), (0, 'purple'), (4, 'green'), (6, 'blue'), (5, 'red'), (1, 'purple')]",38.30375599861145
12,3,2,4,33,2,13,"[(7, 'purple'), (6, 'red'), (2, 'blue'), (4, 'green'), (1, 'purple'), (3, 'purple'), (0, 'green'), (1, 'purple'), (5, 'red'), (6, 'blue'), (3, 'blue'), (4, 'green'), (6, 'blue')]",26.552708864212036
13,3,2,4,96,2,15,"[(3, 'blue'), (0, 'blue'), (1, 'green'), (3, 'purple'), (7, 'red'), (5, 'red'), (7, 'red'), (6, 'blue'), (4, 'green'), (1, 'purple'), (0, 'purple'), (5, 'red'), (3, 'blue'), (6, 'blue'), (1, 'purple')]",74.40174698829651
14,3,2,4,69,2,15,"[(3, 'blue'), (0, 'blue'), (1, 'green'), (3, 'purple'), (5, 'red'), (6, 'blue'), (0, 'blue'), (7, 'red'), (6, 'blue'), (4, 'green'), (1, 'purple'), (3, 'purple'), (2, 'purple'), (5, 'red'), (1, 'purple')]",62.64392113685608
15,3,2,4,57,2,20,"[(7, 'purple'), (6, 'red'), (2, 'blue'), (0, 'green'), (4, 'green'), (1, 'purple'), (5, 'purple'), (7, 'purple'), (0, 'green'), (1, 'purple'), (5, 'red'), (7, 'blue'), (6, 'green'), (2, 'purple'), (1, 'purple'), (0, 'green'), (6, 'blue'), (7, 'blue'), (4, 'green'), (6, 'blue')]",52.69139337539673
