,d,k,l,level,Min,Moves
0,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
1,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
2,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
3,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
4,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
5,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
6,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
7,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
8,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
9,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
10,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
11,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
12,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
13,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
14,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
15,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
16,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
17,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
18,4,1,11,1,12,"[(15.0, 'red'), (13.0, 'green'), (5.0, 'blue'), (7.0, 'red'), (0.0, 'yellow'), (6.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'green'), (7.0, 'purple'), (13.0, 'green')]"
