,d,k,l,level,Min,Moves
0,3,2,4,1,7,"[(2.0, 'blue'), (3.0, 'red'), (0.0, 'purple'), (4.0, 'green'), (5.0, 'red'), (6.0, 'blue'), (1.0, 'purple')]"
1,3,2,4,1,7,"[(2.0, 'blue'), (3.0, 'red'), (0.0, 'purple'), (4.0, 'green'), (5.0, 'red'), (6.0, 'blue'), (1.0, 'purple')]"
2,3,2,4,1,7,"[(2.0, 'blue'), (3.0, 'red'), (0.0, 'purple'), (4.0, 'green'), (5.0, 'red'), (6.0, 'blue'), (1.0, 'purple')]"
3,3,2,4,1,7,"[(2.0, 'blue'), (3.0, 'red'), (0.0, 'purple'), (4.0, 'green'), (5.0, 'red'), (6.0, 'blue'), (1.0, 'purple')]"
4,3,2,4,1,7,"[(2.0, 'blue'), (3.0, 'red'), (0.0, 'purple'), (4.0, 'green'), (5.0, 'red'), (6.0, 'blue'), (1.0, 'purple')]"
5,3,2,4,1,7,"[(2.0, 'blue'), (3.0, 'red'), (0.0, 'purple'), (4.0, 'green'), (5.0, 'red'), (6.0, 'blue'), (1.0, 'purple')]"
6,3,2,4,1,7,"[(2.0, 'blue'), (3.0, 'red'), (0.0, 'purple'), (4.0, 'green'), (5.0, 'red'), (6.0, 'blue'), (1.0, 'purple')]"
7,3,2,4,1,7,"[(2.0, 'blue'), (3.0, 'red'), (0.0, 'purple'), (4.0, 'green'), (5.0, 'red'), (6.0, 'blue'), (1.0, 'purple')]"
8,3,2,4,1,7,"[(2.0, 'blue'), (3.0, 'red'), (0.0, 'purple'), (4.0, 'green'), (5.0, 'red'), (6.0, 'blue'), (1.0, 'purple')]"
9,3,2,4,1,7,"[(2.0, 'blue'), (3.0, 'red'), (0.0, 'purple'), (4.0, 'green'), (5.0, 'red'), (6.0, 'blue'), (1.0, 'purple')]"
