,d,k,l,level,Min,Moves
22,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
23,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
24,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
25,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
26,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
27,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
28,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
29,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
30,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
31,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
