,d,k,l,level,Min,Moves,CPU Time
0,3,1,4,2,10,"[(7.0, 'purple'), (3.0, 'purple'), (0.0, 'blue'), (1.0, 'purple'), (2.0, 'blue'), (7.0, 'green'), (6.0, 'green'), (5.0, 'red'), (4.0, 'green'), (6.0, 'blue')]",2.8344976902008057
1,3,1,4,2,10,"[(7.0, 'purple'), (3.0, 'purple'), (0.0, 'blue'), (1.0, 'purple'), (2.0, 'blue'), (7.0, 'green'), (6.0, 'green'), (5.0, 'red'), (4.0, 'green'), (6.0, 'blue')]",2.7881991863250732
2,3,1,4,2,10,"[(7.0, 'purple'), (3.0, 'purple'), (0.0, 'blue'), (1.0, 'purple'), (2.0, 'blue'), (7.0, 'green'), (6.0, 'green'), (5.0, 'red'), (4.0, 'green'), (6.0, 'blue')]",2.68523907661438
3,3,1,4,2,10,"[(7.0, 'purple'), (3.0, 'purple'), (0.0, 'blue'), (1.0, 'purple'), (2.0, 'blue'), (7.0, 'green'), (6.0, 'green'), (5.0, 'red'), (4.0, 'green'), (6.0, 'blue')]",2.801811933517456
4,3,1,4,2,10,"[(7.0, 'purple'), (3.0, 'purple'), (0.0, 'blue'), (1.0, 'purple'), (2.0, 'blue'), (7.0, 'green'), (6.0, 'green'), (5.0, 'red'), (4.0, 'green'), (6.0, 'blue')]",2.6910479068756104
5,3,1,4,2,10,"[(7.0, 'purple'), (3.0, 'purple'), (0.0, 'blue'), (1.0, 'purple'), (2.0, 'blue'), (7.0, 'green'), (6.0, 'green'), (5.0, 'red'), (4.0, 'green'), (6.0, 'blue')]",2.655104160308838
6,3,1,4,2,10,"[(7.0, 'purple'), (3.0, 'purple'), (0.0, 'blue'), (1.0, 'purple'), (2.0, 'blue'), (7.0, 'green'), (6.0, 'green'), (5.0, 'red'), (4.0, 'green'), (6.0, 'blue')]",2.63779616355896
7,3,1,4,2,10,"[(7.0, 'purple'), (3.0, 'purple'), (0.0, 'blue'), (1.0, 'purple'), (2.0, 'blue'), (7.0, 'green'), (6.0, 'green'), (5.0, 'red'), (4.0, 'green'), (6.0, 'blue')]",2.72839093208313
8,3,1,4,2,10,"[(7.0, 'purple'), (3.0, 'purple'), (0.0, 'blue'), (1.0, 'purple'), (2.0, 'blue'), (7.0, 'green'), (6.0, 'green'), (5.0, 'red'), (4.0, 'green'), (6.0, 'blue')]",2.786789894104004
9,3,1,4,2,10,"[(7.0, 'purple'), (3.0, 'purple'), (0.0, 'blue'), (1.0, 'purple'), (2.0, 'blue'), (7.0, 'green'), (6.0, 'green'), (5.0, 'red'), (4.0, 'green'), (6.0, 'blue')]",2.6801750659942627
