,d,k,l,t,level,Min,Moves,CPU Time
0,3,2,4,13,0,9,"[(0, 'purple'), (7, 'blue'), (2, 'purple'), (3, 'purple'), (5, 'red'), (4, 'green'), (0, 'purple'), (6, 'blue'), (1, 'purple')]",2.0522778034210205
1,3,2,4,8,0,7,"[(2, 'purple'), (7, 'blue'), (3, 'purple'), (5, 'red'), (4, 'green'), (1, 'purple'), (6, 'blue')]",1.5694284439086914
2,3,2,4,17,0,6,"[(2, 'purple'), (7, 'blue'), (5, 'red'), (1, 'purple'), (4, 'green'), (6, 'blue')]",3.5317418575286865
3,3,2,4,10,0,7,"[(2, 'purple'), (7, 'blue'), (5, 'red'), (0, 'purple'), (1, 'purple'), (4, 'green'), (6, 'blue')]",1.6797239780426025
4,3,2,4,13,0,9,"[(0, 'purple'), (2, 'green'), (3, 'blue'), (6, 'red'), (1, 'purple'), (5, 'red'), (4, 'green'), (2, 'blue'), (6, 'blue')]",2.345057964324951
5,3,2,4,13,0,7,"[(2, 'purple'), (7, 'blue'), (5, 'red'), (1, 'purple'), (2, 'green'), (4, 'green'), (6, 'blue')]",2.0947015285491943
6,3,2,4,23,0,12,"[(2, 'purple'), (1, 'blue'), (7, 'blue'), (5, 'red'), (1, 'purple'), (4, 'green'), (0, 'green'), (2, 'green'), (6, 'green'), (4, 'green'), (2, 'blue'), (6, 'blue')]",4.104618787765503
7,3,2,4,10,0,9,"[(2, 'purple'), (1, 'blue'), (5, 'blue'), (1, 'blue'), (7, 'blue'), (5, 'red'), (1, 'purple'), (4, 'green'), (6, 'blue')]",1.6993801593780518
8,3,2,4,17,0,10,"[(2, 'purple'), (7, 'blue'), (0, 'red'), (5, 'red'), (1, 'purple'), (0, 'green'), (4, 'green'), (2, 'blue'), (3, 'blue'), (6, 'blue')]",3.101548194885254
9,3,2,4,407,0,10,"[(2, 'green'), (6, 'green'), (2, 'purple'), (7, 'blue'), (5, 'red'), (1, 'purple'), (4, 'green'), (6, 'blue'), (2, 'purple'), (1, 'purple')]",86.16646075248718
10,3,2,4,5,0,8,"[(2, 'purple'), (3, 'blue'), (7, 'blue'), (5, 'red'), (3, 'purple'), (4, 'green'), (1, 'purple'), (6, 'blue')]",0.8033568859100342
11,3,2,4,17,0,8,"[(0, 'purple'), (2, 'green'), (3, 'blue'), (6, 'red'), (1, 'purple'), (5, 'red'), (4, 'green'), (6, 'blue')]",2.9294934272766113
12,3,2,4,17,0,7,"[(2, 'purple'), (7, 'blue'), (5, 'red'), (1, 'purple'), (0, 'green'), (4, 'green'), (6, 'blue')]",3.0739760398864746
13,3,2,4,8,0,8,"[(2, 'purple'), (7, 'blue'), (0, 'purple'), (3, 'purple'), (5, 'red'), (1, 'purple'), (4, 'green'), (6, 'blue')]",1.3689851760864258
