,d,k,l,t,level,Min,Moves,CPU Time
0,4,2,11,17,0,15,"[(2, 'green'), (8, 'yellow'), (6, 'purple'), (1, 'blue'), (5, 'red'), (11, 'green'), (0, 'blue'), (1, 'blue'), (13, 'green'), (7, 'purple'), (2, 'blue'), (10, 'blue'), (6, 'blue'), (1, 'yellow'), (4, 'blue')]",11.764021635055542
1,4,2,11,15,0,8,"[(14, 'green'), (3, 'yellow'), (9, 'red'), (4, 'blue'), (5, 'red'), (15, 'green'), (13, 'green'), (1, 'yellow')]",8.95204210281372
2,4,2,11,12,0,10,"[(15, 'red'), (8, 'green'), (2, 'purple'), (4, 'blue'), (3, 'purple'), (5, 'red'), (10, 'green'), (7, 'purple'), (11, 'green'), (13, 'green')]",6.2155678272247314
3,4,2,11,21,0,11,"[(14, 'green'), (11, 'purple'), (4, 'blue'), (0, 'blue'), (5, 'red'), (13, 'green'), (15, 'purple'), (10, 'blue'), (7, 'purple'), (6, 'blue'), (4, 'blue')]",23.553768396377563
4,4,2,11,22,0,15,"[(8, 'green'), (3, 'purple'), (9, 'green'), (4, 'blue'), (11, 'green'), (5, 'red'), (7, 'purple'), (0, 'yellow'), (14, 'green'), (2, 'yellow'), (15, 'green'), (10, 'yellow'), (8, 'yellow'), (13, 'green'), (1, 'yellow')]",27.76983404159546
5,4,2,11,11,0,6,"[(3, 'purple'), (12, 'green'), (4, 'blue'), (5, 'red'), (13, 'green'), (7, 'purple')]",6.8924949169158936
6,4,2,11,15,0,8,"[(9, 'red'), (2, 'green'), (4, 'blue'), (14, 'green'), (3, 'yellow'), (5, 'red'), (1, 'yellow'), (13, 'green')]",16.69548273086548
7,4,2,11,24,0,13,"[(8, 'green'), (9, 'green'), (11, 'purple'), (10, 'purple'), (6, 'blue'), (5, 'red'), (4, 'blue'), (14, 'purple'), (11, 'purple'), (7, 'purple'), (12, 'blue'), (13, 'green'), (4, 'blue')]",30.26629090309143
8,4,2,11,28,0,13,"[(12, 'green'), (9, 'yellow'), (1, 'blue'), (6, 'purple'), (4, 'blue'), (5, 'red'), (14, 'green'), (1, 'yellow'), (7, 'purple'), (6, 'green'), (10, 'green'), (15, 'green'), (13, 'green')]",35.52982187271118
9,4,2,11,23,0,16,"[(2, 'green'), (11, 'red'), (15, 'red'), (14, 'green'), (10, 'green'), (4, 'blue'), (14, 'green'), (6, 'purple'), (3, 'purple'), (5, 'red'), (11, 'purple'), (6, 'green'), (7, 'purple'), (14, 'green'), (12, 'green'), (13, 'green')]",36.7545702457428
