,d,k,l,t,level,Min,Moves,CPU Time
0,4,1,11,18,1,14,"[(12, 'purple'), (6, 'blue'), (15, 'red'), (7, 'red'), (9, 'yellow'), (13, 'green'), (4, 'blue'), (5, 'red'), (14, 'purple'), (1, 'yellow'), (15, 'purple'), (7, 'red'), (5, 'red'), (7, 'purple')]",12.26541805267334
1,4,1,11,16,1,16,"[(6, 'purple'), (15, 'blue'), (12, 'red'), (13, 'green'), (4, 'red'), (5, 'red'), (7, 'red'), (0, 'yellow'), (14, 'blue'), (5, 'red'), (1, 'yellow'), (7, 'purple'), (12, 'blue'), (15, 'green'), (4, 'blue'), (13, 'green')]",5.80959939956665
2,4,1,11,23,1,16,"[(6, 'blue'), (12, 'purple'), (14, 'purple'), (15, 'red'), (3, 'yellow'), (7, 'red'), (4, 'blue'), (13, 'green'), (15, 'purple'), (5, 'red'), (7, 'purple'), (6, 'purple'), (9, 'green'), (1, 'yellow'), (13, 'green'), (7, 'purple')]",18.822977304458618
3,4,1,11,25,1,18,"[(15, 'red'), (13, 'green'), (5, 'blue'), (12, 'purple'), (14, 'purple'), (7, 'red'), (4, 'blue'), (5, 'red'), (9, 'green'), (6, 'purple'), (13, 'green'), (7, 'purple'), (0, 'yellow'), (12, 'blue'), (4, 'blue'), (8, 'yellow'), (0, 'yellow'), (1, 'yellow')]",20.241042852401733
4,4,1,11,14,1,10,"[(12, 'red'), (6, 'purple'), (4, 'red'), (13, 'green'), (5, 'red'), (15, 'blue'), (7, 'purple'), (14, 'blue'), (6, 'blue'), (4, 'blue')]",8.8474702835083
5,4,1,11,24,1,18,"[(12, 'purple'), (3, 'yellow'), (4, 'green'), (1, 'yellow'), (5, 'red'), (6, 'blue'), (14, 'purple'), (15, 'purple'), (7, 'purple'), (12, 'green'), (13, 'green'), (9, 'yellow'), (4, 'blue'), (15, 'purple'), (12, 'blue'), (1, 'yellow'), (4, 'blue'), (7, 'purple')]",22.240005016326904
6,4,1,11,18,1,16,"[(6, 'blue'), (7, 'green'), (5, 'purple'), (3, 'green'), (7, 'purple'), (2, 'blue'), (11, 'green'), (5, 'red'), (13, 'red'), (5, 'red'), (6, 'blue'), (4, 'blue'), (15, 'green'), (13, 'green'), (3, 'purple'), (7, 'purple')]",8.189682722091675
7,4,1,11,18,1,12,"[(12, 'red'), (15, 'blue'), (13, 'green'), (5, 'purple'), (4, 'red'), (7, 'purple'), (5, 'red'), (9, 'green'), (14, 'blue'), (13, 'green'), (6, 'blue'), (4, 'blue')]",13.490774154663086
8,4,1,11,20,1,12,"[(9, 'red'), (13, 'green'), (5, 'purple'), (6, 'blue'), (7, 'purple'), (8, 'red'), (0, 'red'), (2, 'blue'), (4, 'red'), (0, 'blue'), (5, 'red'), (4, 'blue')]",18.65021252632141
9,4,1,11,24,1,16,"[(15, 'red'), (6, 'purple'), (13, 'green'), (2, 'purple'), (6, 'blue'), (7, 'red'), (4, 'blue'), (3, 'purple'), (5, 'red'), (9, 'green'), (2, 'purple'), (13, 'green'), (6, 'purple'), (0, 'yellow'), (1, 'yellow'), (7, 'purple')]",22.685518503189087
10,4,1,11,22,1,16,"[(12, 'purple'), (15, 'red'), (8, 'purple'), (13, 'green'), (5, 'blue'), (7, 'red'), (4, 'blue'), (12, 'purple'), (14, 'purple'), (5, 'green'), (13, 'green'), (5, 'red'), (15, 'purple'), (0, 'yellow'), (7, 'purple'), (1, 'yellow')]",12.26390814781189
11,4,1,11,16,1,16,"[(6, 'blue'), (7, 'green'), (3, 'green'), (5, 'purple'), (0, 'yellow'), (15, 'red'), (13, 'red'), (4, 'blue'), (1, 'yellow'), (7, 'purple'), (11, 'green'), (15, 'green'), (5, 'red'), (3, 'yellow'), (13, 'green'), (1, 'yellow')]",8.914174795150757
12,4,1,11,15,1,12,"[(9, 'red'), (13, 'green'), (5, 'purple'), (3, 'yellow'), (15, 'green'), (6, 'blue'), (1, 'red'), (7, 'purple'), (5, 'red'), (4, 'blue'), (13, 'green'), (1, 'yellow')]",7.952375888824463
13,4,1,11,16,1,12,"[(12, 'purple'), (15, 'red'), (13, 'green'), (5, 'blue'), (4, 'blue'), (7, 'red'), (14, 'purple'), (12, 'green'), (15, 'purple'), (5, 'red'), (7, 'purple'), (13, 'green')]",13.917453527450562
14,4,1,11,18,1,14,"[(15, 'red'), (13, 'green'), (5, 'blue'), (7, 'red'), (6, 'purple'), (4, 'blue'), (5, 'red'), (14, 'purple'), (15, 'purple'), (6, 'blue'), (7, 'purple'), (9, 'green'), (4, 'blue'), (13, 'green')]",16.884740591049194
15,4,1,11,37,1,24,"[(12, 'red'), (13, 'green'), (15, 'blue'), (0, 'purple'), (5, 'green'), (4, 'red'), (7, 'blue'), (2, 'purple'), (13, 'green'), (5, 'red'), (3, 'purple'), (6, 'blue'), (4, 'blue'), (11, 'purple'), (10, 'purple'), (14, 'purple'), (6, 'purple'), (3, 'yellow'), (14, 'purple'), (1, 'yellow'), (10, 'purple'), (14, 'purple'), (6, 'purple'), (7, 'purple')]",20.1046040058136
16,4,1,11,44,1,22,"[(9, 'red'), (13, 'green'), (5, 'blue'), (6, 'purple'), (7, 'purple'), (4, 'blue'), (3, 'purple'), (7, 'purple'), (8, 'red'), (0, 'red'), (2, 'red'), (6, 'red'), (2, 'red'), (0, 'blue'), (6, 'red'), (4, 'blue'), (5, 'purple'), (7, 'purple'), (15, 'purple'), (7, 'red'), (5, 'red'), (7, 'purple')]",37.97382473945618
17,4,1,11,25,1,12,"[(15, 'red'), (13, 'green'), (3, 'blue'), (7, 'red'), (11, 'blue'), (5, 'red'), (6, 'purple'), (7, 'purple'), (15, 'blue'), (14, 'blue'), (6, 'blue'), (4, 'blue')]",11.861096382141113
18,4,1,11,17,1,12,"[(6, 'blue'), (12, 'purple'), (4, 'green'), (14, 'purple'), (5, 'red'), (12, 'green'), (13, 'green'), (4, 'blue'), (15, 'green'), (6, 'purple'), (13, 'green'), (7, 'purple')]",13.795684099197388
19,4,1,11,22,1,10,"[(6, 'purple'), (9, 'red'), (13, 'green'), (5, 'blue'), (7, 'purple'), (0, 'yellow'), (1, 'red'), (4, 'blue'), (5, 'red'), (1, 'yellow')]",13.108530521392822
20,4,1,11,21,1,14,"[(15, 'red'), (6, 'blue'), (13, 'green'), (7, 'red'), (14, 'blue'), (12, 'purple'), (6, 'blue'), (15, 'green'), (5, 'red'), (4, 'blue'), (13, 'green'), (14, 'purple'), (6, 'purple'), (7, 'purple')]",14.622329950332642
21,4,1,11,17,1,14,"[(12, 'red'), (6, 'purple'), (14, 'purple'), (15, 'purple'), (4, 'red'), (13, 'green'), (5, 'red'), (3, 'yellow'), (6, 'blue'), (14, 'purple'), (1, 'yellow'), (15, 'purple'), (4, 'blue'), (7, 'purple')]",10.964144945144653
22,4,1,11,21,1,12,"[(15, 'red'), (0, 'purple'), (6, 'blue'), (13, 'green'), (7, 'red'), (2, 'purple'), (5, 'red'), (4, 'blue'), (6, 'purple'), (14, 'purple'), (15, 'purple'), (7, 'purple')]",11.273191928863525
